Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.042209877786640086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.08416800679920479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.12587663256689793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.16733797399209488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.2085542237438424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.24952754864440083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.29026009004897163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.33075396421875003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.3710112626874391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4110340526213593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.4508243771732817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.49038425583011586,8.881784197001252e-16,1.4432899320127035e-15,1.7763568394002505e-15,2.3314683517128287e-15,1.3322676295501878e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.887379141862766e-15,1.4432899320127035e-15,1.1102230246251565e-15,1.2212453270876722e-15,1.2212453270876722e-15,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.145378479238396e-15
0.013,0.5297156847545718,1.5543122344752192e-15,2.6645352591003757e-15,3.3306690738754696e-15,5.329070518200751e-15,2.7755575615628914e-15,3.219646771412954e-15,3.219646771412954e-15,3.219646771412954e-15,2.886579864025407e-15,2.3314683517128287e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.3322676295501878e-15,9.992007221626409e-16,2.4476216868918496e-15
0.014,0.5688206371209213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6077010634449761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.646358891908397,1.5543122344752192e-15,2.7755575615628914e-15,3.4416913763379853e-15,5.440092820663267e-15,2.886579864025407e-15,3.3306690738754696e-15,3.219646771412954e-15,3.219646771412954e-15,2.886579864025407e-15,2.4424906541753444e-15,2.3314683517128287e-15,2.220446049250313e-15,1.887379141862766e-15,1.3322676295501878e-15,1.4432899320127035e-15,1.1102230246251565e-15,2.522758378643173e-15
0.017,0.6847960286774502,8.881784197001252e-16,1.5543122344752192e-15,1.887379141862766e-15,3.3306690738754696e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.887379141862766e-15,1.887379141862766e-15,1.5543122344752192e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.3322676295501878e-15,6.661338147750939e-16,1.1102230246251565e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.2775861637452491e-15
0.018,0.7230143582163188,8.881784197001252e-16,1.6653345369377348e-15,2.55351295663786e-15,3.4416913763379853e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.9984014443252818e-15,1.887379141862766e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.4432899320127035e-15,9.992007221626409e-16,5.551115123125783e-16,5.551115123125783e-16,2.220446049250313e-16,1.4163442260295105e-15
0.019,0.7610157435950805,5.551115123125783e-16,1.3322676295501878e-15,1.887379141862766e-15,3.3306690738754696e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.2212453270876722e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1858576270218329e-15
0.02,0.7988020267924529,3.885780586188048e-15,6.217248937900877e-15,9.769962616701378e-15,1.509903313490213e-14,7.882583474838611e-15,7.993605777301127e-15,8.43769498715119e-15,8.104628079763643e-15,7.549516567451064e-15,6.217248937900877e-15,5.995204332975845e-15,5.329070518200751e-15,3.885780586188048e-15,2.55351295663786e-15,2.886579864025407e-15,2.6645352591003757e-15,6.3193353888659595e-15
0.021,0.836375028993415,1.7763568394002505e-15,2.7755575615628914e-15,4.218847493575595e-15,6.5503158452884236e-15,3.219646771412954e-15,3.3306690738754696e-15,3.219646771412954e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.55351295663786e-15,2.4424906541753444e-15,1.887379141862766e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.3322676295501878e-15,9.992007221626409e-16,2.628251624253433e-15
0.022,0.8737365508818011,5.662137425588298e-15,9.325873406851315e-15,1.454392162258955e-14,2.3203661214665772e-14,1.2212453270876722e-14,1.2545520178264269e-14,1.2434497875801753e-14,1.2212453270876722e-14,1.1102230246251565e-14,9.325873406851315e-15,8.881784197001252e-15,7.66053886991358e-15,5.662137425588298e-15,4.107825191113079e-15,4.440892098500626e-15,3.885780586188048e-15,9.49130936683859e-15
0.023,0.9108883729279702,5.551115123125783e-16,1.4432899320127035e-15,2.55351295663786e-15,3.3306690738754696e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,7.771561172376096e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,1.2920264576487735e-15
0.024,0.9478322556716419,1.3100631690576847e-14,2.1760371282653068e-14,3.608224830031759e-14,5.762057497804562e-14,2.808864252301646e-14,2.853273173286652e-14,2.842170943040401e-14,2.808864252301646e-14,2.631228568361621e-14,2.19824158875781e-14,2.098321516541546e-14,1.8318679906315083e-14,1.3211653993039363e-14,9.325873406851315e-15,1.021405182655144e-14,8.881784197001252e-15,2.233741763642439e-14
0.025,0.9845699400000001,2.0519622667691806e-09,3.3515427100283546e-09,5.661249691257808e-09,9.380886845100633e-09,4.477918924550295e-09,4.508113549128723e-09,4.51535497880684e-09,4.433851508167663e-09,4.164679934248738e-09,3.453810681897096e-09,3.297267570090412e-09,2.8695783527155072e-09,2.0403396749912872e-09,1.4305091555755212e-09,1.5976969747200087e-09,1.4032961459520266e-09,3.528164678420329e-09
0.026,1.0211031474211503,0.015857621545980027,0.025737530589405644,0.04254304850783597,0.06852942497064696,0.0339243256834979,0.03436749632773706,0.03447174363636285,0.0338065565149519,0.03171554143286914,0.0263209381227254,0.02517711141415324,0.021995319512815747,0.015725676221306717,0.011067565843945859,0.012321394249017237,0.01078912484886263,0.026780721291150972
0.027,1.057433580333025,0.04359763878864176,0.06999090302709199,0.11181464106242822,0.17254458998953004,0.0903406476302584,0.09232491538722964,0.09279141023205184,0.09085267238313122,0.08511895783305135,0.07078069137390841,0.06791120509155979,0.059698284715318906,0.043076890579589855,0.030509585751180346,0.03380229470049423,0.029465000386428963,0.07157713890850713
0.028,1.093562922287823,0.07134778003843423,0.11330488871811051,0.17559661907122404,0.261202433905973,0.1435890281257689,0.14772409145592258,0.14870251432369685,0.14543953264592124,0.13617980524785078,0.11354186897382657,0.10923243497446877,0.09657582207530979,0.07030520288974162,0.05009666979382443,0.05527663579799835,0.04800463170648783,0.11420871901616483
0.029,1.12949283825207,0.09878419878833422,0.1552087322680724,0.23408331687432749,0.3373315486195553,0.19352800039813634,0.20011359379339433,0.20168438804184785,0.1971290182963693,0.18456974077609734,0.15436887979415004,0.14886732753232312,0.1323231385959759,0.09714791707789772,0.06962788716516854,0.07655760543897272,0.06628137000506695,0.15454963368231897
0.03,1.1652249748623855,0.125693953618647,0.1954310185226391,0.2876144305507622,0.4031606378661684,0.2401821025243347,0.24931205116283894,0.2515079524071794,0.24574138410690627,0.23016688997337353,0.1931663866191793,0.1866859731721484,0.16676709365122577,0.12343485597805859,0.08896681845484067,0.0975219003523724,0.0842161801811031,0.19259205859800516
0.031,1.2007609606770357,0.15194086989330857,0.23383282037302155,0.33658562268846637,0.4604505920096422,0.2836700296018755,0.29530571407097095,0.2981273657985015,0.291257522571958,0.272976196668815,0.22992598597677816,0.22264933250362995,0.19982115601308958,0.14905907147566033,0.10802172289525491,0.11808946701820855,0.10176149466804119,0.22839707571720602
0.032,1.236102406423358,0.17744151692951193,0.270361992994526,0.38140070902606926,0.5106020034027838,0.3241599625689561,0.3381808725956167,0.34160791441728533,0.3337546289893488,0.31307767809693166,0.2646916259084815,0.25677464257465654,0.23145507433405077,0.1739566162171653,0.12673172654844544,0.13820966398477674,0.11889049999155554,0.26206370663247813
0.033,1.2712509052411285,0.202148658335634,0.3050225157878641,0.42244743483107106,0.5547382390542006,0.36184243686883344,0.3780804081868234,0.3820792582188629,0.3733648506823234,0.35059350389711275,0.29753755143114846,0.2891130712424632,0.26167477855260013,0.19809280567183007,0.14505737109696437,0.1578519409867647,0.13559010161090534,0.29370980495341265
0.034,1.3062080329219603,0.22603990698304,0.3378540450379166,0.4600862860615691,0.5937683441261559,0.39691418653204,0.4151762949177751,0.4197055681819224,0.4102490729100591,0.38566730069881405,0.32855434909935954,0.31973536962427695,0.29050910915719397,0.22145290719281663,0.1629741581918258,0.17699955886732444,0.1518562958167431,0.3234604519386248
0.035,1.3409753481447968,0.24910992672320442,0.36891827845354885,0.49464635753967723,0.6284344254623997,0.4295687656436271,0.4496524296764838,0.4546666810327066,0.44458049221674767,0.41845127947738736,0.35784016716192757,0.3487226847231283,0.31800104088339687,0.2440357988527937,0.18046811450945255,0.19564532861581074,0.16769110268900922,0.3514410365980937
0.036,1.3755543927075813,0.27136503926441724,0.39828985006418693,0.5264249420260593,0.6593474260630388,0.45999132879935756,0.4816940942352287,0.48714637783139625,0.47653447439805796,0.44909834492854095,0.3854952373321676,0.37616069690615905,0.3442018614161245,0.26584961695264475,0.19753271675891393,0.21378869141117274,0.1831005142783474,0.37777324586555233
0.037,1.4099466917551757,0.29281946741046705,0.4260502481793995,0.5556889917257724,0.6870142998532695,0.48835595101684615,0.5114816593368042,0.5173252530323905,0.5062824385859601,0.4777573754333255,0.4116185075387564,0.40213590689598255,0.3691673021561054,0.2869087424832899,0.21416673694550226,0.2314336956065597,0.19809310861047125,0.40257285795697484
0.038,1.4441537540035907,0.3134926996777485,0.45228376280547034,0.5826774352029471,0.7118588188485048,0.5148244863430664,0.5391869945832152,0.5453765356166952,0.5339883172007859,0.504570520463775,0.4363056286169785,0.42673331914151,0.3929549678434576,0.30723169713753695,0.23037271614267552,0.24858757986387825,0.21267910515908717,0.42594864886383493
