Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0499149166001994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09953212992047715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1488542953914767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.19788403695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.24662394753694583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2950765894891945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3432444950538688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.39113016679687496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4387360780428432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.48606467330097086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5331183686834462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5798995523166023,1.1102230246251565e-15,1.4432899320127035e-15,1.9984014443252818e-15,3.885780586188048e-15,1.887379141862766e-15,1.9984014443252818e-15,1.887379141862766e-15,1.9984014443252818e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.2212453270876722e-15,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.6320944686559627e-15
0.013,0.626410584744947,2.6645352591003757e-15,2.9976021664879227e-15,3.6637359812630166e-15,6.5503158452884236e-15,3.885780586188048e-15,3.6637359812630166e-15,3.4416913763379853e-15,3.774758283725532e-15,3.6637359812630166e-15,3.1086244689504383e-15,2.6645352591003757e-15,1.7763568394002505e-15,9.992007221626409e-16,6.661338147750939e-16,6.661338147750939e-16,5.551115123125783e-16,3.1268662339520825e-15
0.014,0.672653799328215,0.0,0.0,0.0,1.2212453270876722e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.270053909327396e-17
0.015,0.7186315026315788,6.661338147750939e-16,1.3322676295501878e-15,1.9984014443252818e-15,3.774758283725532e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.887379141862766e-15,1.5543122344752192e-15,1.2212453270876722e-15,9.992007221626409e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.4787452485545127e-15
0.016,0.7643459748091602,3.4416913763379853e-15,4.551914400963142e-15,5.662137425588298e-15,9.992007221626409e-15,5.551115123125783e-15,5.218048215738236e-15,4.884981308350689e-15,5.218048215738236e-15,4.9960036108132044e-15,4.218847493575595e-15,3.774758283725532e-15,2.6645352591003757e-15,1.3322676295501878e-15,9.992007221626409e-16,8.881784197001252e-16,8.881784197001252e-16,4.487123545893983e-15
0.017,0.8097994699809705,1.7763568394002505e-15,2.1094237467877974e-15,3.6637359812630166e-15,7.549516567451064e-15,3.885780586188048e-15,3.552713678800501e-15,3.219646771412954e-15,3.552713678800501e-15,3.552713678800501e-15,3.1086244689504383e-15,2.4424906541753444e-15,1.6653345369377348e-15,6.661338147750939e-16,5.551115123125783e-16,5.551115123125783e-16,3.3306690738754696e-16,2.9561106078297286e-15
0.018,0.8549942166034155,3.3306690738754696e-15,3.9968028886505635e-15,5.440092820663267e-15,1.1213252548714081e-14,5.88418203051333e-15,5.218048215738236e-15,4.884981308350689e-15,5.329070518200751e-15,5.10702591327572e-15,4.3298697960381105e-15,3.774758283725532e-15,2.4424906541753444e-15,1.3322676295501878e-15,8.881784197001252e-16,8.881784197001252e-16,9.992007221626409e-16,4.533879928745609e-15
0.019,0.899932417833491,3.552713678800501e-15,4.884981308350689e-15,6.8833827526759706e-15,1.3211653993039363e-14,6.8833827526759706e-15,5.551115123125783e-15,5.551115123125783e-15,5.88418203051333e-15,5.88418203051333e-15,4.884981308350689e-15,4.218847493575595e-15,2.9976021664879227e-15,1.4432899320127035e-15,1.2212453270876722e-15,1.1102230246251565e-15,9.992007221626409e-16,5.230899337045647e-15
0.02,0.9446162518867924,1.8096635301390052e-14,2.3092638912203256e-14,3.319566843629218e-14,6.616929226765933e-14,3.4638958368304884e-14,2.8976820942716586e-14,2.8976820942716586e-14,3.008704396734174e-14,2.964295475749168e-14,2.5646151868841116e-14,2.220446049250313e-14,1.4876988529977098e-14,7.105427357601002e-15,5.995204332975845e-15,5.662137425588298e-15,4.9960036108132044e-15,2.640809620217019e-14
0.021,0.9890478723894638,1.543422145644513e-07,1.960920018584389e-07,2.8498596771342477e-07,5.88442969795544e-07,3.013873337565087e-07,2.512706953616828e-07,2.487617846158585e-07,2.6057691449032916e-07,2.573046485876418e-07,2.2616607686654078e-07,1.9185869315485604e-07,1.2837381335728537e-07,6.150051201636586e-08,5.053237095431484e-08,5.065295261008629e-08,4.426303457094605e-08,2.293227304292715e-07
0.022,1.0332294087242024,0.028584195496006326,0.03610418639101953,0.05115644829183996,0.10020105609355034,0.05381126862078456,0.045624406223540026,0.04536218726041308,0.04736536995422491,0.046607027567468484,0.040915809236091616,0.034916410313606816,0.023583683037274206,0.011388344274896434,0.009388775853025999,0.00937064101196905,0.00815993351951394,0.041214528952276536
0.023,1.0771629663704396,0.06734625305353426,0.08440711621867025,0.11610000561506062,0.213874378288609,0.12139191596917354,0.1049038984067282,0.10478028395247962,0.10900748740255095,0.10687979510885226,0.09378724849473308,0.08061990850259515,0.05510583480708986,0.026891425108027445,0.02225785724899776,0.022109942498872326,0.019180428430981777,0.09377310180318524
0.024,1.120850627238806,0.10615744011731243,0.13203881161687525,0.1769980438667763,0.30925417068543126,0.1841423049422377,0.16169159727568838,0.16208146657389133,0.16809378541201636,0.16438499793769823,0.1443352179759947,0.12489872522240741,0.08633889353656321,0.04257358583549975,0.0353618477665425,0.034992836439788344,0.030265185648441606,0.14341401649942156
0.025,1.1642944499999999,0.1443648778567126,0.17822844470382704,0.23360216775753506,0.3898333995033155,0.24201436628079942,0.21538904139386417,0.2165153961469829,0.22394095842707584,0.21859405147617617,0.19219332029203362,0.1673308895559662,0.11691135491311277,0.05824153651313724,0.048528693570261905,0.04787313750804878,0.04130624152881823,0.1899479039424764
0.026,1.2074964704081632,0.18153985319284138,0.22250916167674306,0.28593263541727054,0.4583871018738339,0.2951804859704351,0.26573278457063465,0.26770990171153397,0.27623871147868306,0.2692963290210303,0.23722134256751803,0.20770186953221925,0.14659262898082903,0.07376331035541106,0.06163883763426603,0.06065121798625084,0.05223140363611267,0.23336466773116255
0.027,1.2504587016188713,0.2174166067625748,0.26462782644175464,0.33416244032933395,0.51710692413565,0.34392737710228505,0.31267340216819095,0.31554098317747536,0.3249170855220439,0.31648163456738154,0.27942092148040065,0.2459332698528537,0.17525026411705413,0.08905136684162207,0.07461112544268422,0.07326097201379811,0.06299385430805637,0.2737617733192317
0.028,1.293183134501845,0.2518435550093491,0.30447542721739385,0.37854276341266024,0.5677256286211091,0.38859067434871475,0.35629066063460313,0.36003915366822536,0.37005240227597425,0.36025869488718687,0.3188776981432375,0.28203223748493145,0.20281792798600118,0.1040494078748253,0.0873916646271562,0.08565975896537936,0.07356430602032593,0.3112957379691907
0.029,1.3356717379484822,0.2847473870167707,0.3420372223479805,0.4193575696139651,0.6116198620645312,0.4295169623523897,0.39673749653442636,0.4013261828794199,0.4118046292840548,0.4008018366355931,0.3557237178312418,0.316057504886307,0.22927290072495665,0.11872280552161119,0.09994566201442934,0.09782115816671055,0.08392543839204869,0.3461512447655406
0.03,1.377926459174312,0.3161075945329369,0.3773583109169063,0.456897077886665,0.6498907827286717,0.4670429341166432,0.43420429556204065,0.4395738974117338,0.4503771636610687,0.4383173075182375,0.3901137519794483,0.34809725709933037,0.254620711759339,0.13305186848237827,0.11225163726628573,0.10972990205207733,0.09406805695222165,0.3785222629531305
0.031,1.4199492240164684,0.345938713087413,0.41052032077454215,0.4914429456240561,0.6834259101355242,0.5014848096444129,0.46889669271087286,0.47497799862310985,0.48599168325924713,0.4730225731811821,0.42221074068769304,0.3782549598309385,0.2788847933782096,0.14702716474911093,0.1242973746825119,0.121378372836627,0.10398846623645441,0.4086009335011915
0.032,1.4617419372262777,0.37427803656709613,0.4416258168978644,0.5232605458566049,0.7129461827853043,0.5331337264911435,0.5010221261064989,0.5077417872101345,0.5188728221436782,0.5051339531305294,0.4521770683555366,0.40664041474446433,0.3020995550526121,0.16064628254568614,0.1360770997752223,0.13276418549095337,0.11368667544441946,0.43657133756976707
0.033,1.5033064827570521,0.4011771490916497,0.4707879778707129,0.5525954581313441,0.7390417415740471,0.5622545105730377,0.5307819691678606,0.5380663130355781,0.5492391439731438,0.5348595322646029,0.48016952193054296,0.4333642074398414,0.32430576253364896,0.1739115836685462,0.14758950621809352,0.14388851627123578,0.1231651692838378,0.4626062794164221
0.034,1.544644724047187,0.426696102092622,0.4981238384772594,0.5796724108757091,0.7621992388807524,0.5890862887949821,0.5583671795590968,0.5661446484079871,0.5772981064843433,0.5623953721386502,0.5063365535968396,0.4585343455479589,0.3455474648230955,0.1868286394970451,0.15883637114334603,0.15475494188382488,0.13242806225366022,0.48686589981763445
0.035,1.5857585042986428,0.45089942292926255,0.5237499377082535,0.604695607120818,0.7828228033239438,0.6138440418715997,0.5839561424747552,0.5921587843826921,0.6032435281262021,0.5879237619206865,0.5308169723955221,0.4822543059218929,0.36586996173787456,0.1994051377703825,0.16982157844121082,0.16536862950235431,0.14148051413973384,0.5094973784767904
0.036,1.6266496467509024,0.47385339403381965,0.5477795861135233,0.6278497909644959,0.8012502479290654,0.6367205760356932,0.6077138646187836,0.6162781783890435,0.6272546020037734,0.6116127098653397,0.5537395104038585,0.5046219848661455,0.3853184729788045,0.21165011570892134,0.18055042650439201,0.1757357692585202,0.15032832460528234,0.5306352641861947
0.037,1.6673199549504951,0.49562421591790173,0.5703212209719883,0.6493016716121589,0.8177656960495017,0.6578886180745468,0.6297919822891339,0.6386593258420133,0.649495847033646,0.6336161701072507,0.575222912882002,0.5257292231997397,0.4039372815378579,0.2235734208317678,0.1910291356135393,0.18586317547533227,0.15897765147685783,0.5504021476119542
0.038,1.707771213016158,0.5162767867273415,0.5914774894824921,0.6692014797415395,0.8326094927694205,0.6775028715423552,0.6503292432305688,0.6594459515782316,0.6701176077601505,0.6540746865550621,0.5953763309979923,0.5456616928677738,0.4217691985562788,0.2351853317232856,0.20126449645307942,0.19575800618128836,0.16743481509619973,0.5689095018823497
0.039,1.7480051858997314,0.5358739126859284,0.611344815924765,0.6876845269227756,0.8459860448028601,0.6957019503883364,0.6694522473544964,0.6787695614958313,0.6892568565544493,0.6731162546082645,0.6142998778142239,0.5644990062628504,0.43885524615955684,0.24649629189453703,0.21126361910428781,0.2054275661099092,0.1757061629711275,0.5862585852078627
0.04,1.7880236196428572,0.5544758198015165,0.630013286916615,0.7048726970193236,0.8580700678093087,0.7126101518531396,0.6872763117032068,0.6967501884869163,0.7070381433492039,0.6908572771643411,0.6320852604985047,0.5823149578532891,0.4552344878369301,0.2575167240843461,0.22103375404842052,0.21487916899600157,0.18379797693054212,0.6025413429531601
0.041,1.827828241629564,0.572139875857653,0.6475667418875548,0.7208758335709853,0.8690116000869877,0.7283390565657601,0.7039063764771691,0.7134972275988893,0.7235745968651552,0.7074035396572849,0.6488164351069268,0.5991778393782572,0.4709439581705722,0.2682569020611294,0.230582165084953,0.22412004221523485,0.19171641038954568,0.6178412735454052
