Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07532107118644069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.15019291133200796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.22461952745292368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2986048790513834,1.5543122344752192e-15,3.6637359812630166e-15,2.886579864025407e-15,2.886579864025407e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.887379141862766e-15,1.887379141862766e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.4432899320127035e-15,9.992007221626409e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.168882340739351e-15
0.005,0.372152878817734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.4452673933202358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5179522436826641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.59021120625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6620480132424537,5.551115123125783e-16,2.7755575615628914e-15,2.220446049250313e-15,1.887379141862766e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,5.551115123125783e-16,3.3306690738754696e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1175977481478326e-15
0.01,0.7334663533980582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.8044698726040658,3.3306690738754696e-16,2.220446049250313e-15,4.440892098500626e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,4.726624132439306e-16
0.012,0.8750621745173744,5.329070518200751e-15,1.9872992140790302e-14,1.1546319456101628e-14,8.548717289613705e-15,4.3298697960381105e-15,4.9960036108132044e-15,5.218048215738236e-15,5.773159728050814e-15,5.218048215738236e-15,4.3298697960381105e-15,4.3298697960381105e-15,4.218847493575595e-15,2.7755575615628914e-15,2.3314683517128287e-15,1.4432899320127035e-15,8.881784197001252e-16,7.903525043621717e-15
0.013,0.945246821174206,2.3314683517128287e-14,9.103828801926284e-14,5.562217353372034e-14,4.107825191113079e-14,2.0095036745715333e-14,2.220446049250313e-14,2.4424906541753444e-14,2.55351295663786e-14,2.375877272697835e-14,1.9984014443252818e-14,1.942890293094024e-14,1.8540724511240114e-14,1.3211653993039363e-14,1.021405182655144e-14,8.215650382226158e-15,5.440092820663267e-15,3.654022283273327e-14
0.014,1.0150273335892515,0.009668574840295818,0.03866802003270875,0.023327076458671825,0.016703848897519524,0.008035887410603904,0.008966661313726587,0.010012069735470752,0.01065534232679144,0.009890501598612267,0.008288052722053685,0.008017042745225744,0.007635182114509864,0.005519276960513131,0.004336793387374915,0.00345084316418498,0.002367788389254777,0.015214596137338346
0.015,1.0844071923444976,0.054317186154039576,0.19546264222006748,0.12679521107760794,0.09585160589788166,0.047269476506703545,0.05201686117114579,0.05707466281767892,0.0606793773038895,0.056685842278118126,0.048001645118584735,0.04653501199477028,0.04387154697411422,0.031576991957370515,0.024604966586315835,0.019668128680743302,0.013603340743697956,0.08306224203166082
0.016,1.1533898381679388,0.09833480122860028,0.32166819049817874,0.22126544148562965,0.1748798999434169,0.08875872373700944,0.09669962898247586,0.1045506622283996,0.11099382878373254,0.10425019153314719,0.08910368065673846,0.086577234070353,0.08099957432465443,0.058141514492780266,0.04497410238688859,0.036090750884911094,0.025142936119461723,0.14641195072455426
0.017,1.2219786725023787,0.14129698603830554,0.4241007603686029,0.3059476700480144,0.25073825261557725,0.13125499479871916,0.14198363901441036,0.15163073222613943,0.16069750925034598,0.15162678785223627,0.13067539353195357,0.1272567423669455,0.1183880765026426,0.08486523118860911,0.06523847504268165,0.05252873487762855,0.03683562355990877,0.20518859166779982
0.018,1.290177058064516,0.182903932248058,0.5079601948967625,0.3810225313864295,0.32162090553112677,0.17377771631684358,0.187034715221309,0.19769642020376077,0.2091189322734489,0.19809145770766057,0.17199499906443194,0.16786214789921983,0.1555315420272988,0.11147309600054833,0.08525093321803434,0.0688449671673842,0.048567857733365694,0.25948149880496724
0.019,1.3579883193945128,0.2229575739309213,0.5771926047927602,0.44718624331165036,0.3866855498674744,0.21561152566602138,0.23121976591227322,0.2423036225723818,0.25579152378007775,0.2431306190321708,0.21252830896030117,0.20785386098445857,0.19204540493160038,0.13775675242556418,0.10491105248745514,0.08494516536253172,0.06025764910292197,0.3094971952452877
0.02,1.4254157433962265,0.26133665052188126,0.6347989585421514,0.5053450035189815,0.4457273719542807,0.256261508772452,0.27408069202830776,0.28515059303435286,0.30041220658113743,0.28640009029663316,0.251896732576833,0.24683824734964255,0.2276471964282425,0.16356207353593855,0.12415217522437416,0.10076617815279587,0.07184667193350336,0.35550646643947587
0.021,1.4924625798682973,0.29797675930679435,0.6830771270940578,0.556441902807556,0.49891968035557777,0.29540262118585514,0.31530201222023924,0.32604681482911124,0.34280248779238076,0.32768549634780875,0.28984376096917497,0.28453900230141493,0.26213663814336263,0.18877738512272424,0.1429313500562326,0.11626665170830319,0.0832936560532691,0.3978060134767384
0.022,1.5591320420262662,0.3328555955107585,0.7238028563594141,0.6013706854301901,0.5466369309901835,0.3328360835647598,0.3546808389516065,0.3648869696621383,0.38287676262901704,0.36686976666131255,0.3262064347119259,0.3207719519376653,0.29537847196147715,0.2133240468940265,0.161222333509491,0.13142044723855872,0.0945695871570631,0.4366950150153737
0.023,1.6254273070159027,0.36598203503315707,0.7583621484236829,0.6409392255432451,0.5893437212557064,0.36845512799671865,0.3921013729527705,0.40163006143014623,0.4206175727226368,0.40390771702493256,0.36089256096201905,0.35542431094340854,0.3272884121757047,0.2371491947175991,0.17901084474166096,0.14621216772741985,0.10565436888284319,0.4724621762491324
0.024,1.6913515164179105,0.39738786634092915,0.7878475372810441,0.6758592120240161,0.6275291604180523,0.402219041093427,0.4275139411252893,0.43628283604331863,0.4560564991425715,0.43880642508684986,0.39386285863489146,0.3884379428230903,0.3578217622289094,0.2602201102178995,0.19629130229966874,0.16063410881937956,0.11653449991065823,0.5053792170969407
0.025,1.7569077767441859,0.4271213893600124,0.8131283335004661,0.7067486548862059,0.6616702439312092,0.4341337704673025,0.4609180580249259,0.4688866631785209,0.4892594584394887,0.47161013192752665,0.4251170351315853,0.4197959417470759,0.3869641924559337,0.2825197778594557,0.21306451086392098,0.17468413562491092,0.12720142375430687,0.5356980723985593
0.026,1.8220991599257883,0.4552424032704161,0.8349022829257114,0.7341400137251901,0.692212987158251,0.4642375272874111,0.49234891949931725,0.49950722165161865,0.5203154447228582,0.5023886707069954,0.45468296238143113,0.4495119371123235,0.4147242830261093,0.304043331947069,0.22933596826505132,0.1883641643889742,0.1376503248430595,0.5636501616722008
0.027,1.8869287037927842,0.48181827949845435,0.8537339387239948,0.7584902357989647,0.7195640905379135,0.4925901480331787,0.5218667757209633,0.5282264707667064,0.5493279871078911,0.5312286609505632,0.4826083042626045,0.4776216327602213,0.4411275292374055,0.32479519777079346,0.2451145943678762,0.20167905000721764,0.14787922830819267,0.5894467844721968
