Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0510195855433699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.10173487932405569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.15214859554013876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.20226341620553365,0.0,0.0,0.0,1.2212453270876722e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1070600245041453e-17
0.005,0.2520819916256158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3016069408644402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3508408522037219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.39978628359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4484457630963973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4968217893203884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5449168318489835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5927333316602317,8.881784197001252e-16,1.887379141862766e-15,2.3314683517128287e-15,4.107825191113079e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.887379141862766e-15,2.220446049250313e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.3322676295501878e-15,7.771561172376096e-16,0.0,0.0,0.0,1.4715029266497791e-15
0.013,0.6402737015399423,1.6653345369377348e-15,3.774758283725532e-15,6.328271240363392e-15,8.548717289613705e-15,4.107825191113079e-15,3.552713678800501e-15,3.6637359812630166e-15,3.9968028886505635e-15,3.774758283725532e-15,3.219646771412954e-15,2.9976021664879227e-15,2.4424906541753444e-15,1.3322676295501878e-15,6.661338147750939e-16,6.661338147750939e-16,2.220446049250313e-16,3.0739172723248415e-15
0.014,0.6875403264875241,5.551115123125783e-16,1.6653345369377348e-15,2.220446049250313e-15,3.885780586188048e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.887379141862766e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.2212453270876722e-15,5.551115123125783e-16,0.0,0.0,0.0,1.3035125838665925e-15
0.015,0.7345355641148326,6.661338147750939e-16,1.6653345369377348e-15,2.3314683517128287e-15,3.9968028886505635e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.887379141862766e-15,1.887379141862766e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.2212453270876722e-15,6.661338147750939e-16,0.0,0.0,0.0,1.3810689101820298e-15
0.016,0.781261745038168,2.4424906541753444e-15,5.662137425588298e-15,9.658940314238862e-15,1.2323475573339238e-14,5.995204332975845e-15,5.10702591327572e-15,5.218048215738236e-15,5.88418203051333e-15,5.662137425588298e-15,4.773959005888173e-15,4.218847493575595e-15,3.552713678800501e-15,1.9984014443252818e-15,1.2212453270876722e-15,9.992007221626409e-16,4.440892098500626e-16,4.523905464567546e-15
0.017,0.8277211732635587,1.6653345369377348e-15,3.6637359812630166e-15,5.995204332975845e-15,9.658940314238862e-15,3.9968028886505635e-15,3.219646771412954e-15,3.4416913763379853e-15,3.885780586188048e-15,3.6637359812630166e-15,3.1086244689504383e-15,2.886579864025407e-15,2.3314683517128287e-15,1.3322676295501878e-15,4.440892098500626e-16,6.661338147750939e-16,2.220446049250313e-16,2.9962976519605547e-15
