Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04324627576271187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.08623462145129225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.12896733773042615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.17144669798418974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.21367494871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2556543099607073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.29738697564152794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.338875113984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.38012086787731253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.42112635524271846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.4618936693998064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5024248794208495,9.992007221626409e-16,1.3322676295501878e-15,1.4432899320127035e-15,1.887379141862766e-15,1.4432899320127035e-15,1.887379141862766e-15,1.887379141862766e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.2212453270876722e-15,8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,0.0,1.0958426241322982e-15
0.013,0.542722030481232,1.6653345369377348e-15,2.3314683517128287e-15,2.6645352591003757e-15,3.6637359812630166e-15,2.886579864025407e-15,3.552713678800501e-15,3.774758283725532e-15,3.6637359812630166e-15,3.1086244689504383e-15,2.6645352591003757e-15,2.220446049250313e-15,1.5543122344752192e-15,9.992007221626409e-16,6.661338147750939e-16,7.771561172376096e-16,5.551115123125783e-16,2.21923367161164e-15
0.014,0.5827871442034549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6226222189952153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.6622292303816794,2.55351295663786e-15,2.886579864025407e-15,3.4416913763379853e-15,4.6629367034256575e-15,3.4416913763379853e-15,4.773959005888173e-15,4.884981308350689e-15,4.551914400963142e-15,3.9968028886505635e-15,3.3306690738754696e-15,2.6645352591003757e-15,2.1094237467877974e-15,1.2212453270876722e-15,8.881784197001252e-16,1.2212453270876722e-15,7.771561172376096e-16,2.8582318486348162e-15
0.017,0.7016101313320647,9.992007221626409e-16,1.3322676295501878e-15,1.4432899320127035e-15,1.887379141862766e-15,1.4432899320127035e-15,1.887379141862766e-15,1.887379141862766e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.2212453270876722e-15,8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,0.0,1.0958426241322982e-15
0.018,0.7407668525806451,1.2212453270876722e-15,1.7763568394002505e-15,2.4424906541753444e-15,3.219646771412954e-15,2.6645352591003757e-15,3.1086244689504383e-15,3.4416913763379853e-15,3.3306690738754696e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.7763568394002505e-15,1.2212453270876722e-15,7.771561172376096e-16,5.551115123125783e-16,5.551115123125783e-16,1.1102230246251565e-16,1.863507605811477e-15
0.019,0.7797013029422896,1.2212453270876722e-15,1.7763568394002505e-15,1.7763568394002505e-15,2.9976021664879227e-15,2.6645352591003757e-15,3.1086244689504383e-15,3.219646771412954e-15,3.219646771412954e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.7763568394002505e-15,1.1102230246251565e-15,5.551115123125783e-16,3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,1.7400990118749636e-15
0.02,0.8184153696226415,6.661338147750939e-15,7.549516567451064e-15,9.43689570931383e-15,1.354472090042691e-14,1.1324274851176597e-14,1.3211653993039363e-14,1.3322676295501878e-14,1.2989609388114332e-14,1.1546319456101628e-14,9.43689570931383e-15,7.882583474838611e-15,5.329070518200751e-15,3.774758283725532e-15,2.886579864025407e-15,2.6645352591003757e-15,2.55351295663786e-15,8.099913178900545e-15
0.021,0.856910918523048,2.7755575615628914e-15,3.1086244689504383e-15,4.3298697960381105e-15,4.884981308350689e-15,4.218847493575595e-15,4.9960036108132044e-15,5.10702591327572e-15,4.884981308350689e-15,4.551914400963142e-15,3.6637359812630166e-15,3.1086244689504383e-15,2.1094237467877974e-15,1.2212453270876722e-15,8.881784197001252e-16,1.2212453270876722e-15,8.881784197001252e-16,3.1304590513417275e-15
0.022,0.8951897945403376,8.992806499463768e-15,1.0547118733938987e-14,1.3100631690576847e-14,1.942890293094024e-14,1.5987211554602254e-14,1.8318679906315083e-14,1.84297022087776e-14,1.7763568394002505e-14,1.609823385706477e-14,1.3322676295501878e-14,1.0880185641326534e-14,7.327471962526033e-15,4.884981308350689e-15,3.552713678800501e-15,3.774758283725532e-15,2.9976021664879227e-15,1.1167084305248559e-14
0.023,0.9332538218615529,2.6645352591003757e-15,2.9976021664879227e-15,3.552713678800501e-15,4.773959005888173e-15,3.6637359812630166e-15,4.884981308350689e-15,4.884981308350689e-15,4.773959005888173e-15,4.440892098500626e-15,3.4416913763379853e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.1102230246251565e-15,6.661338147750939e-16,9.992007221626409e-16,7.771561172376096e-16,2.926838375388647e-15
0.024,0.9711048042537314,3.430589146091734e-14,3.863576125695545e-14,4.951594689828198e-14,7.427392034742297e-14,6.09512440519211e-14,7.083222897108499e-14,7.083222897108499e-14,6.672440377997191e-14,6.072919944699606e-14,5.0737192225369654e-14,4.107825191113079e-14,2.708944180085382e-14,1.765254609153999e-14,1.3988810110276972e-14,1.3766765505351941e-14,1.1546319456101628e-14,4.229914578645557e-14
0.025,1.0087445253488372,0.009929472487766544,0.011181483299097295,0.014189741672892553,0.021364417801256974,0.01768575375939785,0.020395978940617288,0.020437326129060907,0.01929750506529926,0.017540259107961753,0.01469229635627256,0.011890201047302318,0.007823952835836923,0.005069781421535469,0.004014381141106416,0.003947304274102059,0.003335494463098332,0.012209439034170325
0.026,1.0461747489239333,0.0511608468267184,0.05754286895226268,0.07238125734415002,0.10633258434628656,0.0888482116734588,0.1019373764467143,0.10228887740017578,0.09687806492863504,0.08839139459764422,0.07449889636212625,0.060738070066590044,0.04041717263059552,0.02639432842439904,0.020977625133056566,0.02063370807353848,0.017433053671014,0.06186550043361831
