Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.057624470578265204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1149052564413519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.17184542316154608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.22844799996047432,1.1102230246251565e-16,3.3306690738754696e-16,1.5543122344752192e-15,1.9984014443252818e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,4.4264380732396937e-16
0.005,0.28471598024630546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.34065232214145386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.39625994900097944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.451541749921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5065005802434274,0.0,1.1102230246251565e-16,3.3306690738754696e-16,1.6653345369377348e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.4459021799994923e-16
0.01,0.5611392620388349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6154605845982575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6694673049034748,1.1102230246251565e-15,2.1094237467877974e-15,4.107825191113079e-15,5.10702591327572e-15,2.220446049250313e-15,1.887379141862766e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.2212453270876722e-15,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.890072243812909e-15
0.013,0.7231621480943214,2.7755575615628914e-15,5.551115123125783e-15,8.548717289613705e-15,1.2101430968414206e-14,5.551115123125783e-15,4.107825191113079e-15,4.107825191113079e-15,3.885780586188048e-15,3.6637359812630166e-15,3.1086244689504383e-15,2.886579864025407e-15,2.1094237467877974e-15,1.3322676295501878e-15,8.881784197001252e-16,5.551115123125783e-16,1.2212453270876722e-15,4.4137223058629506e-15
0.014,0.7765478079270633,1.1102230246251565e-16,3.3306690738754696e-16,1.5543122344752192e-15,1.9984014443252818e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,4.4264380732396937e-16
0.015,0.8296269472248803,8.881784197001252e-16,2.1094237467877974e-15,4.3298697960381105e-15,6.661338147750939e-15,2.55351295663786e-15,1.887379141862766e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.2212453270876722e-15,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.0582107731655022e-15
0.016,0.8824021983206106,4.9960036108132044e-15,1.176836406102666e-14,1.9317880628477724e-14,2.90878432451791e-14,1.2101430968414206e-14,8.43769498715119e-15,7.993605777301127e-15,8.104628079763643e-15,7.771561172376096e-15,6.8833827526759706e-15,5.995204332975845e-15,4.107825191113079e-15,2.55351295663786e-15,1.7763568394002505e-15,1.5543122344752192e-15,2.55351295663786e-15,9.604501078729887e-15
0.017,0.9348761634919125,4.6629367034256575e-15,1.0658141036401503e-14,1.9095836023552692e-14,3.042011087472929e-14,1.2323475573339238e-14,8.215650382226158e-15,7.771561172376096e-15,7.66053886991358e-15,7.549516567451064e-15,6.661338147750939e-15,5.88418203051333e-15,3.885780586188048e-15,2.4424906541753444e-15,1.6653345369377348e-15,1.5543122344752192e-15,2.55351295663786e-15,9.486926247290345e-15
0.018,0.9870514153889942,1.1333867178109358e-08,2.617725369802315e-08,4.761258631802434e-08,7.94418655303275e-08,3.077549171059957e-08,1.9835951770019733e-08,1.8591046146987367e-08,1.8658294353990357e-08,1.8175797866781807e-08,1.626563184142782e-08,1.4370583389933245e-08,9.83182779634717e-09,5.800987801229951e-09,4.629957528479167e-09,3.8970335847210436e-09,6.1602859480203165e-09,2.3694517045764445e-08
0.019,1.0389304974550615,0.015842231863277267,0.03626251394557278,0.06341153059399263,0.100912913678884,0.04131838827788814,0.027316771129750395,0.02576120837125373,0.025727113340041963,0.024937297069727138,0.022226246100865987,0.019752052111981833,0.013619898043949252,0.008079466481850206,0.006471447433426758,0.005413372052285537,0.008501753818459301,0.03173058550222413
0.02,1.0905159243396225,0.03829113129846229,0.08636525012667073,0.14384019074162213,0.21681029901094884,0.09506372751852254,0.06483569000640332,0.061563733898479245,0.06112556121579227,0.05891867601268963,0.05229401162338165,0.0468042715630963,0.032596119842770555,0.019472819592487145,0.01565817956146276,0.0130049075304276,0.020255740827834767,0.07281398610371062
0.021,1.1418101823047977,0.06194186378526956,0.13732632878185635,0.21876954535219073,0.31498235946791875,0.14704498269757893,0.10315360942417828,0.09849201954630782,0.09730202265109655,0.09336518752490441,0.08262020283539961,0.07442140229731975,0.05231911184351812,0.03147057213328819,0.025385528916428424,0.020957564128079698,0.032387343614922126,0.11242242887283517
0.022,1.1928157296247655,0.08643675660557826,0.1880295488810697,0.2877277037743995,0.3984944305911601,0.19699028273020125,0.1417551599450727,0.13595989296805433,0.1337442275402938,0.12787055142396386,0.1129297856793553,0.10231131347868172,0.0725676934661793,0.04394384718093558,0.03553905835907378,0.02919265658879655,0.04478111149308872,0.15043611553885916
0.023,1.2435349969784846,0.1114525029906499,0.23760812147689103,0.350652500281203,0.46984721167852506,0.24469886722688217,0.180186477804944,0.1734591497228385,0.17001768927801542,0.1620924359361715,0.14298642519229732,0.13021827706782674,0.0931406774524084,0.05677232172200786,0.04601426677474596,0.03763909768690321,0.057336863062807386,0.186775019596372
0.024,1.2939703878358209,0.13670896489326,0.2854351533775823,0.40774709032067524,0.5310783188199832,0.29003966196023245,0.21806713180629556,0.21056914989712794,0.2057699986690964,0.1957543762026427,0.17259518296642606,0.15792685787218252,0.11386202093912434,0.06984796623451506,0.05671902461783007,0.046234739913764256,0.06997022535864983,0.22139826189640496
0.025,1.3441242788372092,0.16197142073291682,0.3310919228226229,0.4593681338568856,0.5838494750597617,0.3329447381144167,0.25509245931947055,0.24695595748355115,0.24072682833038717,0.2286417986204935,0.20160121936273512,0.18526150932984253,0.13458234501831745,0.08307657787830114,0.06757416472311406,0.054926522631469576,0.08261170697846576,0.25429913039307206
0.026,1.3939990201669759,0.18704873005562306,0.37432824603317305,0.5059475193271914,0.6295189702136442,0.37339992697075164,0.2910295407437209,0.2823652896916069,0.2746835430706005,0.26059503958418273,0.22988622780105017,0.21208364775178135,0.15517814305044864,0.0963778649590491,0.0785129807602648,0.06366995000795528,0.0952050994629049,0.28549857140088036
0.027,1.443596935920444,0.2117892475274924,0.41502338367251856,0.5479414124180042,0.6692006461350782,0.41143440536980513,0.3257095177599255,0.31661238927132185,0.30749501105763977,0.291501217545137,0.25736378719969,0.23828743933894692,0.17554965785590593,0.10968465491088586,0.08948014153501105,0.0724282365255915,0.10770565780688279,0.31503862503510943
0.028,1.4929203244649447,0.2360757482231306,0.4531516665872457,0.5857992048353325,0.7038113483732673,0.447110531480173,0.359018289773573,0.34957091925072803,0.33906522911010184,0.3212860922613383,0.2839744163000141,0.26379512789049775,0.19561811912733829,0.12294163661072444,0.10043035165358594,0.08117132948266181,0.12007830572201728,0.3429765148969014
0.029,1.5419714587948483,0.25982016788328965,0.4887543138988999,0.6199460042029138,0.734108871111024,0.48051469886023246,0.3908869656990114,0.3811621712691571,0.36933767248138494,0.3499065431714059,0.30968081109291457,0.2885524232049421,0.21532279775522323,0.13610391459114213,0.11132696264000075,0.08987493236594513,0.1322959894122243,0.36937967201444355
0.03,1.590752586880734,0.28295862340324984,0.521917412145589,0.6507738974668893,0.7607222301017351,0.5117495691870791,0.4212829017365054,0.4113452877387571,0.3982868050102606,0.37734396444457574,0.33446352767683596,0.31252424535333456,0.2346181547978614,0.14913554967832077,0.12214065122167272,0.0985195963922656,0.14433823183737404,0.3943217367856726
0.031,1.639265932012809,0.3054469473424375,0.5527553182205207,0.6786386614239776,0.784175815222423,0.5409277637686423,0.45020175243209404,0.44010880041979095,0.42591088715358183,0.40359866459171556,0.3583172244242593,0.3356909654395357,0.2534712355739399,0.16200818619734247,0.13284822368199112,0.10708991138741086,0.15618989846504705,0.4178794626482699
0.032,1.6875136931386865,0.327256823171458,0.5813985143882524,0.7038597035291676,0.8049086888806197,0.5681669265998137,0.4776606924806257,0.4674635422321394,0.45222604749879824,0.42868523754860277,0.38124748420685195,0.358045184510114,0.2718593749750994,0.17469981562195436,0.1434315689395922,0.11557380528019812,0.16784016363650767,0.4401303941865379
0.033,1.7354980451956326,0.34837252164877786,0.6079849557856222,0.7267218044179933,0.8232900437081849,0.5935859883321257,0.5036928026366762,0.4934368517936485,0.4772614959432573,0.45262881053515114,0.40326818437897305,0.379589034068041,0.2897682280424094,0.18719369470928982,0.15387676175908138,0.12396194915151593,0.17928165641928984,0.46115118037274666
0.034,1.7832211394373867,0.3687881930222927,0.6326540717762296,0.747477767747656,0.839631622063105,0.6173024321882974,0.5283425242117061,0.5180679243378171,0.5010557219442489,0.4754620495767907,0.4243993560844297,0.40033195121539933,0.3071901103793869,0.19947741737704872,0.1641733061149655,0.13224725855566555,0.1905097613513963,0.48101639180272976
0.035,1.8306851037556564,0.38850564952604505,0.6555427361428123,0.7663514337633055,0.8541977293406497,0.6394303666768887,0.5516620469675906,0.5414041406014851,0.52365351681339,0.4972228007754761,0.44466546513539307,0.4202888687308173,0.3241226182937582,0.21154212949203022,0.17431350351855945,0.14042447932439284,0.20152204973366106,0.4997977278065767
0.036,1.8778920429963897,0.4075325673810831,0.676782669808335,0.7835407380636643,0.8672133376078952,0.6600792300782293,0.5737084853559475,0.5634982079079308,0.5451036704335903,0.5179522540027888,0.46409404711177293,0.43947875819270776,0.3405674929994672,0.22338187113232444,0.18429192955116935,0.1484898456797139,0.21231781921657955,0.517563518814354
0.037,1.9248440392709272,0.4258810403669955,0.6964988680811913,0.7992206385901619,0.8788706694667914,0.6793529781157543,0.594541704703434,0.5844059627309065,0.5654572111303218,0.5376935293294793,0.48271463477899523,0.45792346779465654,0.3565296929118251,0.234993029547929,0.19410500228824734,0.15644079921185183,0.22289772225339277,0.5343784480440023
0.038,1.9715431522621185,0.44356642377889555,0.7148087483544991,0.813545821124643,0.8893345686046661,0.6973496332994777,0.6142226735904677,0.6041847040890991,0.5847660776342634,0.5564906015354556,0.5005579235389053,0.47564680274183746,0.37201664054552686,0.24637388652770809,0.20375062773383634,0.16427575851432497,0.23326346694224842,0.5503034329938246
0.039,2.0179914195255146,0.46060641574678207,0.7318217951620591,0.8266531461210793,0.8987468983352045,0.7141610992333816,0.6328122361935179,0.6228919479906712,0.6030821314369865,0.5743874924981689,0.5176551287409402,0.4926738032682826,0.38703761425173644,0.257524245278018,0.2132279092129269,0.17199393066010826,0.24341757654683926,0.5653956209218038
0.04,2.0641908567857143,0.4770203311074247,0.7476395409648027,0.8386638303366309,0.9072301585903362,0.7298731645182086,0.6503702158896691,0.6405845126539533,0.6204564351192975,0.5914276742102826,0.534037496394896,0.509030182373738,0.4016032591177059,0.26844512368708706,0.22253690955587058,0.1795951570631068,0.2533631964319032,0.5797084635532778
