Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06572153629112662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.13105109522862823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.19599217314172446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2605482249011858,4.440892098500626e-16,1.887379141862766e-15,2.3314683517128287e-15,2.3314683517128287e-15,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,3.3306690738754696e-16,0.0,0.0,1.002411306140923e-15
0.005,0.3247226645320197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3885188658153242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.45194016287952987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.51498985078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5776711860759493,4.440892098500626e-16,1.887379141862766e-15,2.3314683517128287e-15,2.3314683517128287e-15,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,3.3306690738754696e-16,0.0,0.0,1.002411306140923e-15
0.01,0.6399873873786408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7019416359148112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.763537076061776,1.9984014443252818e-15,5.218048215738236e-15,7.216449660063518e-15,7.438494264988549e-15,2.55351295663786e-15,1.9984014443252818e-15,2.220446049250313e-15,2.1094237467877974e-15,2.3314683517128287e-15,1.887379141862766e-15,1.6653345369377348e-15,9.992007221626409e-16,4.440892098500626e-16,1.2212453270876722e-15,0.0,0.0,3.5204876823672688e-15
0.013,0.8247768158806544,6.217248937900877e-15,1.4988010832439613e-14,1.765254609153999e-14,1.765254609153999e-14,6.772360450213455e-15,5.551115123125783e-15,5.88418203051333e-15,5.773159728050814e-15,5.773159728050814e-15,4.107825191113079e-15,3.885780586188048e-15,2.886579864025407e-15,1.9984014443252818e-15,3.552713678800501e-15,1.1102230246251565e-16,0.0,9.054406901319944e-15
0.014,0.8856639276391555,1.9984014443252818e-15,5.218048215738236e-15,7.216449660063518e-15,7.438494264988549e-15,2.55351295663786e-15,1.9984014443252818e-15,2.220446049250313e-15,2.1094237467877974e-15,2.3314683517128287e-15,1.887379141862766e-15,1.6653345369377348e-15,9.992007221626409e-16,4.440892098500626e-16,1.1102230246251565e-15,0.0,0.0,3.518352017164208e-15
0.015,0.9462014483253587,5.10702591327572e-15,1.454392162258955e-14,1.942890293094024e-14,1.9317880628477724e-14,6.661338147750939e-15,4.773959005888173e-15,5.10702591327572e-15,5.440092820663267e-15,5.551115123125783e-15,3.9968028886505635e-15,3.4416913763379853e-15,2.4424906541753444e-15,1.9984014443252818e-15,3.219646771412954e-15,1.1102230246251565e-16,0.0,9.134072978408672e-15
0.016,1.0063923801526717,0.004121913653044373,0.011335955974328238,0.014579622579213525,0.014587711477824894,0.005036387180096358,0.003744214068728713,0.0041754204499526715,0.004373289067513109,0.00423862594373714,0.003221797626906553,0.0027686587160734577,0.002036076517393348,0.001558895225110768,0.002635319706876138,0.0001882648774116369,0.00011067458123459328,0.007023180398203445
0.017,1.066239691056137,0.042580964419694056,0.11154264550671644,0.13878860002930482,0.13870715025434233,0.05120541831599368,0.03878693701036673,0.042979727667327716,0.044703128226387445,0.043141025393609866,0.032938398303898775,0.028488863630527828,0.021099092679069842,0.016208522947031345,0.02716287285971908,0.0019509505226618096,0.0011488756656045096,0.06897286987981513
0.018,1.1257463151802656,0.08053370327938747,0.2012519568246176,0.24356471384373035,0.2433617222317257,0.09556166257970244,0.07361525092339705,0.08105936243409084,0.0837844912120953,0.08056722728040544,0.06180317802105895,0.05377661097661668,0.040085143834630244,0.030890372442187064,0.05132629491680707,0.003709835371891179,0.002187782456504528,0.12470243967878962
