Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05010974626121636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09992062723658053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.14943530872150645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.1986564249011858,0.0,0.0,2.220446049250313e-16,1.4432899320127035e-15,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.6262674878941056e-16
0.005,0.24758657881773402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2962283428290767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3445842590597454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.39265683984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4404485681596884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.48796189805825246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5351992550822846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5821630366795367,7.771561172376096e-16,1.2212453270876722e-15,2.1094237467877974e-15,4.107825191113079e-15,1.887379141862766e-15,1.887379141862766e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.1102230246251565e-15,5.551115123125783e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.4109739079446618e-15
0.013,0.6288556126082773,1.887379141862766e-15,2.6645352591003757e-15,4.440892098500626e-15,8.215650382226158e-15,3.885780586188048e-15,3.552713678800501e-15,3.3306690738754696e-15,3.552713678800501e-15,3.1086244689504383e-15,2.7755575615628914e-15,2.6645352591003757e-15,1.7763568394002505e-15,1.2212453270876722e-15,9.992007221626409e-16,8.881784197001252e-16,6.661338147750939e-16,2.911269904730132e-15
0.014,0.6752793253358926,0.0,0.0,2.220446049250313e-16,1.4432899320127035e-15,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.6262674878941056e-16
0.015,0.721436490430622,3.3306690738754696e-16,5.551115123125783e-16,1.9984014443252818e-15,3.9968028886505635e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.2212453270876722e-15,1.2212453270876722e-15,8.881784197001252e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.2054788824868895e-15
0.016,0.7673293969465649,2.1094237467877974e-15,3.1086244689504383e-15,6.994405055138486e-15,1.1879386363489175e-14,5.329070518200751e-15,4.6629367034256575e-15,3.9968028886505635e-15,3.885780586188048e-15,3.885780586188048e-15,3.4416913763379853e-15,3.4416913763379853e-15,2.55351295663786e-15,1.5543122344752192e-15,1.2212453270876722e-15,1.1102230246251565e-15,7.771561172376096e-16,3.7999052595644225e-15
0.017,0.8129603078020934,1.887379141862766e-15,2.886579864025407e-15,5.551115123125783e-15,9.992007221626409e-15,4.107825191113079e-15,3.6637359812630166e-15,3.4416913763379853e-15,3.4416913763379853e-15,3.4416913763379853e-15,3.1086244689504383e-15,2.886579864025407e-15,1.887379141862766e-15,1.3322676295501878e-15,9.992007221626409e-16,8.881784197001252e-16,6.661338147750939e-16,3.184611866188374e-15
0.018,0.8583314601518027,1.887379141862766e-15,2.9976021664879227e-15,5.773159728050814e-15,1.1546319456101628e-14,4.9960036108132044e-15,4.107825191113079e-15,3.6637359812630166e-15,3.6637359812630166e-15,3.6637359812630166e-15,3.3306690738754696e-15,2.9976021664879227e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.1102230246251565e-15,8.881784197001252e-16,7.771561172376096e-16,3.4782061573390003e-15
0.019,0.9034450657521287,1.9984014443252818e-15,3.1086244689504383e-15,6.994405055138486e-15,1.3211653993039363e-14,5.218048215738236e-15,4.107825191113079e-15,3.774758283725532e-15,3.885780586188048e-15,3.774758283725532e-15,3.552713678800501e-15,3.1086244689504383e-15,2.220446049250313e-15,1.4432899320127035e-15,1.1102230246251565e-15,9.992007221626409e-16,7.771561172376096e-16,3.741812589841317e-15
0.02,0.9483033113207547,1.3433698597964394e-14,2.1316282072803006e-14,4.829470157119431e-14,9.159339953157541e-14,3.697042672001771e-14,3.097522238704187e-14,2.7422508708241367e-14,2.6978419498391304e-14,2.7755575615628914e-14,2.531308496145357e-14,2.3092638912203256e-14,1.5987211554602254e-14,9.325873406851315e-15,7.771561172376096e-15,7.327471962526033e-15,6.661338147750939e-15,2.657949910372642e-14
0.021,0.9929083588899342,2.392257215544369e-06,3.938949456272489e-06,9.364221636443126e-06,1.8214560961515858e-05,7.010782629657264e-06,5.692289364089831e-06,5.0157235133019284e-06,4.998071970185869e-06,5.162005246694967e-06,4.729853700036202e-06,4.288442650324242e-06,2.886112356992321e-06,1.6684993007221038e-06,1.342926396641353e-06,1.3392170890025312e-06,1.2135608062902037e-06,5.00246128934251e-06
