Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07769380348953141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.15492422445328033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.23169539613478693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.30801140276679845,1.3322676295501878e-15,1.9984014443252818e-15,3.1086244689504383e-15,3.9968028886505635e-15,2.1094237467877974e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.6653345369377348e-15,1.1102230246251565e-15,9.992007221626409e-16,9.992007221626409e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.1102230246251565e-16,1.894224061570297e-15
0.005,0.38387628029556653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.45929401709233797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5342685546523017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.60880378828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6829035677702044,3.3306690738754696e-16,5.551115123125783e-16,2.55351295663786e-15,5.773159728050814e-15,1.7763568394002505e-15,7.771561172376096e-16,3.3306690738754696e-16,4.440892098500626e-16,6.661338147750939e-16,6.661338147750939e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,1.2959112919529878e-15
0.01,0.7565716980582524,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,2.4424906541753444e-15,4.440892098500626e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,3.9360903656951497e-16
0.011,0.8298119398838335,2.220446049250313e-16,5.551115123125783e-16,2.4424906541753444e-15,5.329070518200751e-15,9.992007221626409e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,5.551115123125783e-16,5.551115123125783e-16,3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,1.109188939750963e-15
0.012,0.9026280104247104,3.9968028886505635e-15,5.88418203051333e-15,1.6653345369377348e-14,3.26405569239796e-14,1.0547118733938987e-14,6.106226635438361e-15,4.773959005888173e-15,5.10702591327572e-15,5.995204332975845e-15,5.88418203051333e-15,4.3298697960381105e-15,2.9976021664879227e-15,1.4432899320127035e-15,7.771561172376096e-16,1.2212453270876722e-15,9.992007221626409e-16,9.123555580656429e-15
0.013,0.9750235839268528,9.026113190202523e-14,1.4299672557172016e-13,4.00679489587219e-13,8.525402606096577e-13,2.58792987040124e-13,1.4199752484955752e-13,1.1235457009206584e-13,1.2279066652354231e-13,1.4421797089880783e-13,1.4099832412739488e-13,1.0491607582707729e-13,7.105427357601002e-14,3.907985046680551e-14,2.4091839634365897e-14,3.297362383136715e-14,2.853273173286652e-14,2.251870437034013e-13
0.014,1.047002292322457,0.013120892616670488,0.02077899460921817,0.05636110325681454,0.11221022176738338,0.03621130014427709,0.02036306894503037,0.01630370859347996,0.017704868307523713,0.020644931655276588,0.020063693271558325,0.01503685805687982,0.010234157466811222,0.005631469321888294,0.003500579983596319,0.004734287406776061,0.004093872320375724,0.03124515399818246
0.015,1.1185677258373206,0.03537577775394796,0.05566102507684423,0.14178778825102822,0.25655050976021654,0.09111372002902163,0.053500682357261464,0.043487121081750235,0.04683107549242893,0.05391045030060315,0.05194979255538934,0.03932282567775536,0.027140678524055994,0.015014416382244766,0.009372625463579198,0.012548111057288036,0.01079875693237431,0.07782207126145675
0.016,1.1897234335877862,0.05999050529212613,0.09352387785062477,0.223972728021823,0.37402911183181065,0.14509191017419387,0.08866873800846398,0.07300916386875445,0.07803766834129433,0.08878411400400421,0.08497004639295258,0.06492477359318183,0.045409737811757944,0.02525896925510107,0.015815277904505654,0.02097682139760748,0.017975345017155253,0.12293405977218481
0.017,1.2604729241674597,0.0865780589929569,0.13345958458870988,0.30108470126074616,0.47020400415494645,0.19776698646495927,0.12537664049885433,0.1043855274759059,0.11083436788635181,0.12475454602189828,0.11874873258741614,0.09154617583703939,0.06483628965483434,0.03626755642830792,0.022756243837743217,0.029924954673882564,0.025546351178084126,0.16651259152142958
0.018,1.330819666223909,0.11471590340075832,0.17460189217597832,0.3720997446211374,0.5494009363105192,0.24878268412858584,0.16310217764029877,0.13711051577386235,0.14472207520665936,0.16132541108050147,0.15291424810258614,0.1188846745806772,0.08519735027152975,0.047930308510302444,0.03011986293510871,0.039296950759553306,0.03343595468236138,0.2084638489222407
0.019,1.400767089025544,0.1439779208987788,0.21618051902618507,0.4366332703709247,0.614991593341238,0.29782856423029913,0.20132953748711868,0.17069162693121442,0.1792249876359885,0.1980428480146268,0.187120218004735,0.14665001686244206,0.10626737793714813,0.06013313022153044,0.03783199386613367,0.049002586403394055,0.04157380482017048,0.24870025168670826
0.02,1.470318583018868,0.1739563563813049,0.2575436240718184,0.49473722498136996,0.6696121023979292,0.3446543783256043,0.23957756553494847,0.20467205983526748,0.21390972649679574,0.234508747685245,0.22105696056518398,0.17457448847920587,0.12782851548307084,0.07276301334995106,0.04582239772782504,0.05895908955204221,0.04989627990981704,0.28715219901433586
0.021,1.5394775003762937,0.2042772933671112,0.29816300929716955,0.5467291322668871,0.7153338370547504,0.38907766120682674,0.2774198758894817,0.23864548774585692,0.24839687584644132,0.27038682806113823,0.2544580188132617,0.2024195562968395,0.14967802392964957,0.08571199464071111,0.05402608678431953,0.06909197971432746,0.05834676630758018,0.3237727473649608
