Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07142534267198405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.14242468926441354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.21300183954410307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2831605482213439,4.440892098500626e-16,1.5543122344752192e-15,2.4424906541753444e-15,3.1086244689504383e-15,1.3322676295501878e-15,5.551115123125783e-16,5.551115123125783e-16,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,1.1525901869288081e-15
0.005,0.3529045256157636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.4222374383104126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4911629097943193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.55968452109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.627805811392405,1.1102230246251565e-16,4.440892098500626e-16,1.9984014443252818e-15,2.6645352591003757e-15,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,7.161032262006146e-16
0.01,0.6955302786407767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7628613801548886,0.0,1.1102230246251565e-16,4.440892098500626e-16,2.220446049250313e-15,4.440892098500626e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,3.793449163732169e-16
0.012,0.8298025332046332,1.887379141862766e-15,4.9960036108132044e-15,9.992007221626409e-15,1.6653345369377348e-14,4.6629367034256575e-15,2.55351295663786e-15,1.9984014443252818e-15,2.3314683517128287e-15,2.7755575615628914e-15,2.55351295663786e-15,1.7763568394002505e-15,1.2212453270876722e-15,8.881784197001252e-16,7.771561172376096e-16,5.551115123125783e-16,5.551115123125783e-16,4.995824346502702e-15
0.013,0.8963571155919153,5.10702591327572e-15,1.1879386363489175e-14,2.3647750424515834e-14,4.0967229608668276e-14,1.2212453270876722e-14,6.772360450213455e-15,5.662137425588298e-15,5.995204332975845e-15,6.772360450213455e-15,5.88418203051333e-15,4.440892098500626e-15,3.552713678800501e-15,2.7755575615628914e-15,1.9984014443252818e-15,1.9984014443252818e-15,2.3314683517128287e-15,1.240709207164254e-14
