Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.057249122243270195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11415679842942347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.17072607416253716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.22695995893280635,1.1102230246251565e-16,3.3306690738754696e-16,1.4432899320127035e-15,1.9984014443252818e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,4.091973455496626e-16
0.005,0.28286142665024633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3384334161689588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3936788318021548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.448600543828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5032013889873418,0.0,1.1102230246251565e-16,0.0,1.6653345369377348e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.868544433949066e-16
0.01,0.5574841709708738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6114516609002905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6651065977992278,9.992007221626409e-16,1.9984014443252818e-15,3.885780586188048e-15,5.10702591327572e-15,2.55351295663786e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.2212453270876722e-15,6.661338147750939e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.814605436464897e-15
0.013,0.7184516890567854,2.3314683517128287e-15,3.9968028886505635e-15,6.661338147750939e-15,1.1657341758564144e-14,6.217248937900877e-15,4.551914400963142e-15,3.3306690738754696e-15,3.1086244689504383e-15,3.1086244689504383e-15,2.6645352591003757e-15,2.220446049250313e-15,1.3322676295501878e-15,9.992007221626409e-16,8.881784197001252e-16,6.661338147750939e-16,2.220446049250313e-16,3.810191196623558e-15
0.014,0.7714896108829175,1.1102230246251565e-16,3.3306690738754696e-16,1.4432899320127035e-15,1.9984014443252818e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,4.091973455496626e-16
0.015,0.8242230087559808,7.771561172376096e-16,2.1094237467877974e-15,4.107825191113079e-15,8.770761894538737e-15,3.6637359812630166e-15,2.220446049250313e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.3322676295501878e-15,5.551115123125783e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.188859640497901e-15
0.016,0.8766544978625954,4.551914400963142e-15,9.547918011776346e-15,1.709743457922741e-14,3.1530333899354446e-14,1.454392162258955e-14,9.547918011776346e-15,7.438494264988549e-15,6.772360450213455e-15,7.327471962526033e-15,6.106226635438361e-15,5.10702591327572e-15,3.1086244689504383e-15,2.4424906541753444e-15,1.6653345369377348e-15,1.9984014443252818e-15,1.7763568394002505e-15,9.170128210709453e-15
0.017,0.9287866635299715,3.4416913763379853e-15,7.66053886991358e-15,1.4654943925052066e-14,2.8310687127941492e-14,1.2545520178264269e-14,7.993605777301127e-15,5.773159728050814e-15,5.662137425588298e-15,5.773159728050814e-15,4.773959005888173e-15,4.218847493575595e-15,2.7755575615628914e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.4432899320127035e-15,9.992007221626409e-16,7.669143942503597e-15
0.018,0.9806220616508539,1.9128587602779135e-11,4.076439186206926e-11,8.435374621029723e-11,1.7530077389693588e-10,7.391354195362965e-11,4.418965193764279e-11,3.2991831488971e-11,3.0686009289127014e-11,3.3484437444997184e-11,2.91885404735126e-11,2.4254265262868557e-11,1.523459136620886e-11,9.024891944875435e-12,8.064104939364825e-12,8.650080651761982e-12,7.328471163248196e-12,4.471149020208518e-11
0.019,1.03216321910123,0.010033488781365008,0.02137198781637728,0.0427568979471723,0.0844845111378495,0.03729355523985822,0.02281304849659438,0.017187424470282653,0.015939345698881113,0.017260022655540386,0.014976612994947902,0.012511769770967796,0.007910488549559225,0.004707887950181511,0.004222433385622226,0.004501182325603814,0.003797985089548761,0.022600726814267925
0.02,1.0834126341509434,0.027409606686196186,0.05818958023833343,0.11054060163645596,0.20309508078951044,0.09601750047855495,0.06080689468299749,0.046440772205715075,0.042897841731564634,0.04593349392510837,0.039607637771818194,0.03335517053909254,0.021304816941179583,0.012772338213079548,0.011514903071082716,0.012164231955830052,0.01020246183340201,0.05844777820922879
0.021,1.1343727768673566,0.046195418505158736,0.09746181210209148,0.17636298852161847,0.30407758300542254,0.15306735944566485,0.10009766283361532,0.07741512207164958,0.0712847902204018,0.07557245475435204,0.06483937256615846,0.0550067998921806,0.03548053388861161,0.021422730302876003,0.019397230296169576,0.020327698131712535,0.01695701747277234,0.09372265954031651
0.022,1.185046089512195,0.06612217494923178,0.13829419478364413,0.23920460756639295,0.3902294101342625,0.20797277177665519,0.14008249568176412,0.10960211732390202,0.10068114329054367,0.10580365339729136,0.09042742782861368,0.07723296586567197,0.05028671733546741,0.03057345323727534,0.027782279605546578,0.028910968226758427,0.023999843610347238,0.12822080253841825
0.023,1.235434986931712,0.08691361050954727,0.17984142125025004,0.29839110533346913,0.4639157277352791,0.2603705878494671,0.18019625056686717,0.14250759138015112,0.1306806477047181,0.13627565860876356,0.11614001450467881,0.09980744160380273,0.0655700056899361,0.04013411819307755,0.03657943728551849,0.037831704707096625,0.031269382534618306,0.16175260340694178
0.024,1.2855418569402985,0.10830667486942724,0.2213677686102946,0.3535571712282728,0.5271270529292864,0.3100136347425766,0.2199455745727874,0.17568431855311561,0.16091613134071658,0.1666792837858072,0.14177159083190283,0.12252537317017409,0.0811855047145047,0.05001662205997515,0.045701432694654986,0.04701177787401023,0.03870845688261537,0.194163615864448
0.025,1.3353690606976745,0.13006427597101156,0.2622746016682964,0.40458097434417706,0.5815300521580875,0.35676332658076293,0.2589250043187027,0.20874947755100892,0.19107309544091267,0.1967566028727279,0.16714911152389844,0.14521030471607455,0.09700321504055165,0.060139628577562276,0.055068482176408806,0.0563806750100001,0.046266420725097124,0.22534163822471048
0.026,1.3849189330797773,0.15198135589870665,0.3021034530660077,0.45151467489780905,0.6285145445215139,0.40057342977910015,0.29681940122214734,0.24139019763965675,0.22089370555817167,0.22630192991914277,0.19213304415216348,0.16771614473782914,0.11291089107641794,0.07043089171042749,0.06461028315959394,0.06587697304122142,0.05389988838609494,0.255215692288412
0.027,1.434193783043478,0.17388621984093566,0.34052419225080277,0.4945241705207203,0.6692365654212009,0.44147063069209935,0.3333976500453746,0.27336121096718957,0.2501745863304401,0.25515799576291764,0.2166152156003327,0.18992593222921395,0.12881444687395527,0.08082802689797908,0.07426651902373294,0.07544852469676322,0.0615725802143916,0.28375082886486613
0.028,1.4831958939852399,0.19563891244506681,0.3773160342041546,0.5338424103551946,0.70465676732242,0.47953552600499616,0.368501793499153,0.30447807627061485,0.2787612324258024,0.2832097854251374,0.24051506755597785,0.211748883494416,0.14463688611896475,0.09127829399402132,0.08398645401111882,0.08505189552926595,0.06925469701744613,0.31094137845670156
0.029,1.5319275240938364,0.21712802637484607,0.41234663589060905,0.56973586709726,0.7355737528944333,0.5148859454694237,0.4020345755391055,0.33460848792461195,0.30654101701842873,0.31037766014159895,0.26377537299934173,0.23311674055551446,0.16031648182216718,0.10173782891244143,0.09372804815545266,0.09465143386175578,0.07692209716524712,0.3368041688606754
0.03,1.580390906697248,0.23826688638707738,0.44555231706369647,0.6024818545456307,0.7626523854285542,0.5476633272557981,0.4339472341017403,0.3636632748332138,0.33343603248844056,0.33661070751899314,0.28635803519399694,0.25398004804478835,0.17580468579024466,0.1121706251989899,0.10345687762685918,0.10421821753468108,0.08455544007806948,0.36137246686031455
0.031,1.6285882506038427,0.2589896871145304,0.4769208509782915,0.6323540179415308,0.786447448424115,0.5780221577558236,0.46422851888363237,0.39158799035367065,0.3593964407966508,0.36188078954256786,0.3082402875380462,0.27430469850298234,0.19106405421377926,0.12254745415544277,0.11314503250101438,0.11372901820529402,0.09213938329465188,0.38469092888480283
0.032,1.6765217404379567,0.27924790008294,0.5064772748760802,0.6596136345927173,0.8074231972615595,0.6061221329520217,0.49289533187721846,0.41835551610108535,0.38439464140781643,0.38617746226015026,0.32941142063004925,0.294068898531162,0.2060663404624814,0.13284483048666995,0.12277008498166664,0.12316535483399604,0.09966187212034183,0.4068115843596044
