Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.052824526420737795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.10533399602385687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.15753121902874134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.20941897233201584,1.1102230246251565e-16,3.3306690738754696e-16,1.5543122344752192e-15,1.7763568394002505e-15,3.3306690738754696e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,4.0601336214078696e-16
0.005,0.26100000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.31227701375245587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.36325269343780614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.41392968750000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4643106134371957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5143980582524272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5641945788964182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6137027027027028,1.1102230246251565e-15,1.887379141862766e-15,3.9968028886505635e-15,4.551914400963142e-15,1.9984014443252818e-15,1.887379141862766e-15,1.887379141862766e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.1102230246251565e-15,1.1102230246251565e-15,4.440892098500626e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.8100507026318776e-15
0.013,0.662924927815207,2.220446049250313e-15,3.885780586188048e-15,6.5503158452884236e-15,8.43769498715119e-15,3.885780586188048e-15,3.4416913763379853e-15,3.4416913763379853e-15,3.3306690738754696e-15,3.219646771412954e-15,2.4424906541753444e-15,1.9984014443252818e-15,1.6653345369377348e-15,9.992007221626409e-16,7.771561172376096e-16,5.551115123125783e-16,1.1102230246251565e-15,3.411878176361562e-15
0.014,0.7118637236084454,1.1102230246251565e-16,3.3306690738754696e-16,1.5543122344752192e-15,1.7763568394002505e-15,3.3306690738754696e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,4.0601336214078696e-16
0.015,0.7605215311004785,1.1102230246251565e-15,1.7763568394002505e-15,3.885780586188048e-15,4.440892098500626e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.2212453270876722e-15,1.2212453270876722e-15,9.992007221626409e-16,8.881784197001252e-16,4.440892098500626e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.6392284473872693e-15
0.016,0.8089007633587787,3.4416913763379853e-15,6.8833827526759706e-15,1.199040866595169e-14,1.4654943925052066e-14,6.106226635438361e-15,5.10702591327572e-15,5.10702591327572e-15,5.218048215738236e-15,4.6629367034256575e-15,3.885780586188048e-15,2.9976021664879227e-15,2.4424906541753444e-15,1.7763568394002505e-15,1.2212453270876722e-15,8.881784197001252e-16,1.9984014443252818e-15,5.576721214931585e-15
0.017,0.8570038058991438,1.887379141862766e-15,3.9968028886505635e-15,8.104628079763643e-15,9.992007221626409e-15,4.218847493575595e-15,3.552713678800501e-15,3.4416913763379853e-15,3.3306690738754696e-15,3.3306690738754696e-15,2.4424906541753444e-15,2.1094237467877974e-15,1.7763568394002505e-15,9.992007221626409e-16,6.661338147750939e-16,5.551115123125783e-16,8.881784197001252e-16,3.6727877995202044e-15
