Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04713903098703889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.0939969146719682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.14057615881070365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.18687924142292492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.23290861123152712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2786666880943026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3241558634280118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.369378500625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.41433693546251216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4590334765048544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5034704054985479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5476499777606177,8.881784197001252e-16,1.4432899320127035e-15,1.4432899320127035e-15,3.6637359812630166e-15,2.7755575615628914e-15,2.55351295663786e-15,1.887379141862766e-15,1.887379141862766e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.3322676295501878e-15,8.881784197001252e-16,5.551115123125783e-16,0.0,5.551115123125783e-16,1.1102230246251565e-16,1.3060916853518527e-15
0.013,0.591574422560154,1.6653345369377348e-15,2.9976021664879227e-15,3.219646771412954e-15,6.217248937900877e-15,6.217248937900877e-15,5.551115123125783e-15,3.6637359812630166e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.6645352591003757e-15,2.6645352591003757e-15,1.6653345369377348e-15,1.2212453270876722e-15,5.551115123125783e-16,1.4432899320127035e-15,6.661338147750939e-16,2.6179229338098404e-15
0.014,0.6352459434932821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6786667188516745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.7218389019847328,1.887379141862766e-15,3.1086244689504383e-15,3.4416913763379853e-15,7.549516567451064e-15,7.216449660063518e-15,5.995204332975845e-15,3.9968028886505635e-15,3.3306690738754696e-15,3.1086244689504383e-15,2.886579864025407e-15,2.9976021664879227e-15,2.1094237467877974e-15,1.2212453270876722e-15,7.771561172376096e-16,1.5543122344752192e-15,6.661338147750939e-16,2.8716740095448715e-15
0.017,0.7647646216555661,9.992007221626409e-16,1.5543122344752192e-15,1.4432899320127035e-15,3.885780586188048e-15,3.552713678800501e-15,3.4416913763379853e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.2212453270876722e-15,7.771561172376096e-16,0.0,6.661338147750939e-16,1.1102230246251565e-16,1.473586182999518e-15
0.018,0.8074459823908918,1.7763568394002505e-15,3.1086244689504383e-15,3.3306690738754696e-15,7.438494264988549e-15,6.994405055138486e-15,5.88418203051333e-15,3.885780586188048e-15,3.3306690738754696e-15,3.1086244689504383e-15,2.886579864025407e-15,2.886579864025407e-15,1.887379141862766e-15,1.2212453270876722e-15,6.661338147750939e-16,1.4432899320127035e-15,6.661338147750939e-16,2.8011385596896367e-15
0.019,0.8498850648249764,1.7763568394002505e-15,3.1086244689504383e-15,3.3306690738754696e-15,7.438494264988549e-15,6.994405055138486e-15,5.88418203051333e-15,3.885780586188048e-15,3.3306690738754696e-15,3.1086244689504383e-15,2.886579864025407e-15,2.886579864025407e-15,1.887379141862766e-15,1.2212453270876722e-15,5.551115123125783e-16,1.3322676295501878e-15,6.661338147750939e-16,2.787322254758888e-15
0.02,0.8920839260377359,7.438494264988549e-15,1.2101430968414206e-14,1.3322676295501878e-14,3.297362383136715e-14,2.986499936241671e-14,2.4980018054066022e-14,1.587618925213974e-14,1.354472090042691e-14,1.3655743202889425e-14,1.2323475573339238e-14,1.199040866595169e-14,8.43769498715119e-15,5.995204332975845e-15,3.4416913763379853e-15,5.440092820663267e-15,3.3306690738754696e-15,1.1915709282487561e-14
0.021,0.934044599887112,6.439293542825908e-15,1.0547118733938987e-14,1.176836406102666e-14,2.8754776337791554e-14,2.531308496145357e-14,2.1538326677728037e-14,1.3877787807814457e-14,1.1657341758564144e-14,1.1657341758564144e-14,1.0103029524088925e-14,1.021405182655144e-14,7.438494264988549e-15,4.9960036108132044e-15,2.6645352591003757e-15,4.551914400963142e-15,2.7755575615628914e-15,1.021503875532911e-14
0.022,0.9757690973358348,3.6293190674996367e-13,5.998535002049721e-13,6.714628852932947e-13,1.8515189381673736e-12,1.6123768986631148e-12,1.3109513474773848e-12,8.257838857161914e-13,6.920020112488601e-13,6.896705428971472e-13,6.417089082333405e-13,6.220579606974752e-13,4.3298697960381105e-13,2.9409807922320397e-13,1.673106098110111e-13,2.651212582804874e-13,1.5998313784848506e-13,6.163397648894361e-13
0.023,1.0172594067726848,0.010775873101110722,0.017801807461618968,0.019734829097303952,0.052637789056992124,0.04644601603485199,0.03812049997588596,0.02425977253696543,0.020369980559958978,0.02027326791461026,0.018825149008916298,0.018256661213438052,0.012772531491525574,0.008696387663595928,0.004968051898597725,0.007849872962144011,0.00473407507323198,0.01802555148477604
0.024,1.0585174943283582,0.03715465407133234,0.061343841550011824,0.066582647565117,0.16445199319648207,0.14931675738712036,0.125166271874794,0.08160764176730906,0.06889771680851964,0.06834586464325454,0.06319841652267688,0.06136108795877515,0.04340749925548548,0.029839863566138547,0.017206708876626342,0.027010344365665406,0.01627117040870163,0.0601260209333517
0.025,1.0995453041860466,0.06387303789375853,0.10522980321262465,0.11228675514850084,0.25909059156864733,0.24048373811904955,0.20527640223772803,0.13694729673810246,0.11627241998801541,0.11505615040402506,0.10607454044088238,0.10309066283166513,0.07368663961394084,0.05111807340558461,0.02974083913708414,0.04641498645775055,0.027953181330054755,0.10036096713224545
0.026,1.1403447588868274,0.09056915753239903,0.14868539189108454,0.15647640122490847,0.33985217723362204,0.3208988640772611,0.278244868622778,0.18968663054286727,0.16196452629407565,0.1599715460775556,0.14718421599507403,0.14316493457697055,0.1033313842087189,0.07230633539539266,0.04242951222376401,0.06586854093559313,0.03968361758717465,0.1385879894404804
0.027,1.180917759629972,0.11698891467034434,0.19115830887605145,0.19891278429611658,0.40928586384348187,0.39170040061481093,0.3442951132762263,0.23953024481642626,0.20567017704703405,0.20285447757105812,0.1863977998296894,0.1814460467570349,0.13217028169129474,0.09325221662387684,0.0551709336845726,0.08523131202244372,0.05139277742805337,0.17477217547327353
