Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06720646630109671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.13401209880715706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.20042047284440037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.26643512134387354,1.6653345369377348e-15,2.1094237467877974e-15,1.9984014443252818e-15,2.55351295663786e-15,2.9976021664879227e-15,3.1086244689504383e-15,2.55351295663786e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.1102230246251565e-15,7.771561172376096e-16,4.440892098500626e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,2.0480572699499867e-15
0.005,0.3320595354679803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3972971652259332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4621514200783546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.52662566953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5907232437195715,1.5543122344752192e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.9984014443252818e-15,2.55351295663786e-15,2.6645352591003757e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.2212453270876722e-15,8.881784197001252e-16,7.771561172376096e-16,4.440892098500626e-16,3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.6286718365563243e-15
0.01,0.6544474339805825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7178014934172313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7807886374517374,3.219646771412954e-15,4.3298697960381105e-15,3.9968028886505635e-15,5.440092820663267e-15,7.66053886991358e-15,7.438494264988549e-15,5.662137425588298e-15,4.3298697960381105e-15,3.1086244689504383e-15,2.7755575615628914e-15,2.4424906541753444e-15,1.7763568394002505e-15,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,2.220446049250313e-16,4.450912005779475e-15
0.013,0.8434120443695862,9.43689570931383e-15,1.1546319456101628e-14,1.0325074129013956e-14,1.4876988529977098e-14,2.098321516541546e-14,2.042810365310288e-14,1.5432100042289676e-14,1.199040866595169e-14,8.770761894538737e-15,7.216449660063518e-15,6.8833827526759706e-15,5.10702591327572e-15,3.219646771412954e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.1102230246251565e-15,1.2217888334080952e-14
0.014,0.9056748558541267,4.3298697960381105e-15,5.10702591327572e-15,4.9960036108132044e-15,7.216449660063518e-15,1.0103029524088925e-14,9.880984919163893e-15,7.105427357601002e-15,5.440092820663267e-15,3.9968028886505635e-15,3.3306690738754696e-15,3.1086244689504383e-15,2.3314683517128287e-15,1.3322676295501878e-15,6.661338147750939e-16,4.440892098500626e-16,2.220446049250313e-16,5.69269729759764e-15
0.015,0.9675801775119616,1.3100631690576847e-14,1.5765166949677223e-14,1.454392162258955e-14,2.1094237467877974e-14,3.0531133177191805e-14,2.9531932455029164e-14,2.2315482794965646e-14,1.6764367671839864e-14,1.2545520178264269e-14,9.769962616701378e-15,1.0103029524088925e-14,6.994405055138486e-15,4.884981308350689e-15,2.3314683517128287e-15,1.887379141862766e-15,1.2212453270876722e-15,1.7400088849353155e-14
0.016,1.029131079389313,0.032952480415972096,0.03920387209765752,0.036002896365617265,0.052631660148118486,0.07423851255811431,0.0711339183278289,0.05425353504208752,0.04101297204716503,0.030527127507932517,0.024681553203144024,0.0247227676989491,0.01786239973216075,0.01171152594644409,0.005865465306296502,0.005228416027609595,0.003665063308562422,0.04257241474419655
0.017,1.0903305964795433,0.09834308359696275,0.11726255773703276,0.10842728773788335,0.15294535236485918,0.20857285961124383,0.20102008573143393,0.15750028905948743,0.12141179394925183,0.09143404477466555,0.0741988933679284,0.07416390065473266,0.05395828639159306,0.035627219617396455,0.018058378376544115,0.016145581290640365,0.01124263737698361,0.12425635382976645
0.018,1.1511817292220112,0.15842541041831704,0.18898163087635989,0.17581804777623844,0.24046942923923176,0.3184702041626335,0.30841583849082466,0.2473351760215603,0.19406328475753964,0.1478090475805317,0.12042844390715335,0.12015996292467335,0.0880042834271536,0.058492103799437145,0.029976801414360654,0.026875015591389717,0.018612456891223594,0.1962835777074214
0.019,1.2116874439924314,0.21359497854644915,0.25454547833279184,0.23812145468383938,0.3170622127496485,0.40931796723364144,0.39798269148545984,0.3256941576986556,0.25967734231955575,0.19994679619307376,0.16359556426723154,0.1629947557733803,0.12013514462257557,0.08034847872474271,0.04160013626967807,0.03738889069844975,0.025779696288647957,0.2600706390980379
0.02,1.2718506735849056,0.2642589231097838,0.3142939036034892,0.29547010562661247,0.3842979887859088,0.48511863496470065,0.4732697835311751,0.39423796229573527,0.31894986008868953,0.24815922207202912,0.20392599242386333,0.2029355125322544,0.15048578122043055,0.1012469483197449,0.05291908190106498,0.04767090311194977,0.03275145997649531,0.31679349684349345
0.021,1.331674317685795,0.3108138818969969,0.368644997833237,0.3481080789534652,0.4435063754907935,0.548891259329622,0.5370089123163522,0.45437826580775,0.3725358296363006,0.29275688534239563,0.2416375161079658,0.2402291743201328,0.17918612579330184,0.12124142467192889,0.06393199821029572,0.05771287496552013,0.0395358829877237,0.3674326750006682
0.022,1.391161243339587,0.3536339865965983,0.4180456001833027,0.3963392839457254,0.495809239867786,0.6029450299466279,0.5913251327469025,0.5073093651803132,0.4210366349618032,0.33403807668413366,0.27693545624923854,0.2751012972451524,0.20635844400472014,0.14038606441175572,0.07464233123925224,0.06751227372651714,0.04614153471188953,0.412809245537564
0.023,1.4503142854069224,0.3930651719386501,0.46294092363527506,0.44049317497211904,0.5421536335027997,0.6490688699028885,0.6378883317395616,0.5540397779809323,0.4649958915182054,0.37228298115417735,0.3100105804022002,0.30775646975821924,0.23211615828092502,0.15873346794972587,0.0850568142338255,0.07707043007108139,0.0525770354846683,0.45361371224839026
0.024,1.5091362470149252,0.4294232946029518,0.5037569729668837,0.48090283765220365,0.5833402718845809,0.6886649514878969,0.6780233479270017,0.5954211847518744,0.5049001667401674,0.4077510407311288,0.3410385040577437,0.33837952934048154,0.25656357075700953,0.17633368613352796,0.09518422218086342,0.08639126919438289,0.05885081855276442,0.4904292862654194
0.025,1.5676299,0.4629944559235185,0.5408912407993376,0.5178915952181915,0.6200476789988876,0.7228441451145102,0.7127907710897503,0.6321737614710905,0.5411822951862983,0.44068027277387367,0.370179963686568,0.36713714645219475,0.2797960972537199,0.1932337334477381,0.10503451577825762,0.09548041288463216,0.0649709893635737,0.5237506914885944
0.026,1.625797985343228,0.4940365252217418,0.5747086105143787,0.5517653312936599,0.652852407143238,0.752495225071605,0.7430468289841508,0.6649077839845856,0.5742259053993726,0.47128773740717755,0.397581569951727,0.39417952316593075,0.3019007721598306,0.20947741263633757,0.11461825738265508,0.10434454672294102,0.07094524895141652,0.5539993953962393
0.027,1.6836432135985198,0.5227812507363367,0.6055404323904534,0.5828085602017734,0.6822458463830897,0.7783357153073074,0.7694882203726112,0.6941417746550398,0.6043703492993084,0.4997706404779485,0.423376798116611,0.4196420655600094,0.322956878977085,0.22510532578437514,0.12394621618498791,0.11299097596220631,0.07678085885753283,0.5815359774492727
0.028,1.741168265313653,0.5494365924448792,0.6336854536623555,0.6112828952134405,0.7086481435526202,0.8009497104833951,0.7926860073593816,0.7203176114735931,0.6319155802512284,0.5263077516269372,0.44768706853499407,0.44364695659138753,0.3430366208870753,0.2401549926147898,0.13302910479683638,0.1214273154327693,0.08248463244783011,0.6066702030659373
0.029,1.7983757914443421,0.5741890655123714,0.6594117619449383,0.6374270060358713,0.7324197087334623,0.820816335104153,0.8131114791002388,0.7438130491088442,0.6571267415579323,0.5510609416689891,0.4706228308844178,0.46630459614675845,0.3622057825997126,0.2546610262439999,0.1418774069942208,0.12966127463069144,0.08806294256554081,0.6296692559811635
0.03,1.855268413761468,0.5972059782762926,0.6829592165310621,0.6614574627782852,0.7538707267945486,0.8383313898075043,0.8311560672851503,0.7649520741224807,0.680238355214619,0.5741767230418973,0.49228460379421257,0.4877148979255663,0.3805243572908824,0.26865533553862475,0.15050126861339386,0.13770051043416598,0.09352173888196247,0.6507644896933358
0.031,1.911848725251601,0.61863750649692,0.7045420466565477,0.6835700723299909,0.7732690281273009,0.8538239819064377,0.8471468134467294,0.7840134668127834,0.7014580748627011,0.5957877273265378,0.5127639449336319,0.5079684454578162,0.39804712601280046,0.28216733527403226,0.15891043209664246,0.14555252789424689,0.09886657060589543,0.6701569852195088
0.032,1.9681192905109492,0.6386185800824438,0.7243514271437357,0.7039414537182691,0.7908466134836954,0.8675694227226104,0.8613584797557521,0.8012378869955626,0.7209700081044503,0.6160140851934024,0.5321443408094997,0.527147516067695,0.4148241849736014,0.29522415295655136,0.1671142010844875,0.15322461519897346,0.1041026117460705,0.6880221439551719
0.033,2.0240826461328485,0.657270578508053,0.7425579251476864,0.7227306928568148,0.8068050757719442,0.8797993176941149,0.8740231050444262,0.8168337485596079,0.7389376348203055,0.6349646933974269,0.5505020139085435,0.5453269845103661,0.4309014206718763,0.30785082601246005,0.17512142554714172,0.16072380290394783,0.1092346871410309,0.704513498104235
