Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.035398323110668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.0705855230218688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.10556348289395441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.14033406355731226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.17489910384236454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.20926042090373284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.24341981053868758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.2773790475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.3111398858033106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.3447040590291262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.3780732806195547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.4112492441698842,6.661338147750939e-16,9.992007221626409e-16,9.992007221626409e-16,1.887379141862766e-15,1.3322676295501878e-15,1.2212453270876722e-15,1.1102230246251565e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.2212453270876722e-15,9.992007221626409e-16,7.771561172376096e-16,1.1102230246251565e-16,0.0,0.0,0.0,8.743100921404648e-16
0.013,0.4442336237151107,1.3322676295501878e-15,2.220446049250313e-15,2.3314683517128287e-15,3.552713678800501e-15,2.3314683517128287e-15,2.3314683517128287e-15,2.4424906541753444e-15,2.7755575615628914e-15,2.3314683517128287e-15,2.220446049250313e-15,1.4432899320127035e-15,1.1102230246251565e-15,8.881784197001252e-16,5.551115123125783e-16,4.440892098500626e-16,2.220446049250313e-16,1.761748069127326e-15
0.014,0.4770280740115163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.5096342308133971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.5420537111450382,1.3322676295501878e-15,2.220446049250313e-15,2.3314683517128287e-15,3.552713678800501e-15,2.3314683517128287e-15,2.4424906541753444e-15,2.4424906541753444e-15,2.7755575615628914e-15,2.3314683517128287e-15,2.220446049250313e-15,1.4432899320127035e-15,1.1102230246251565e-15,8.881784197001252e-16,5.551115123125783e-16,4.440892098500626e-16,2.220446049250313e-16,1.7689159177341322e-15
0.017,0.5742881135680304,6.661338147750939e-16,8.881784197001252e-16,9.992007221626409e-16,2.7755575615628914e-15,1.3322676295501878e-15,1.2212453270876722e-15,1.2212453270876722e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.2212453270876722e-15,9.992007221626409e-16,7.771561172376096e-16,1.1102230246251565e-16,0.0,0.0,0.0,9.270088131126127e-16
0.018,0.6063390184440227,6.661338147750939e-16,1.1102230246251565e-15,1.2212453270876722e-15,2.7755575615628914e-15,1.4432899320127035e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.3322676295501878e-15,9.992007221626409e-16,8.881784197001252e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,1.0015443904159538e-15
0.019,0.6382079881929991,4.440892098500626e-16,9.992007221626409e-16,1.2212453270876722e-15,2.7755575615628914e-15,1.4432899320127035e-15,1.1102230246251565e-15,1.2212453270876722e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.3322676295501878e-15,9.992007221626409e-16,8.881784197001252e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,9.615571320932936e-16
0.02,0.6698965675471699,1.887379141862766e-15,2.6645352591003757e-15,3.774758283725532e-15,6.217248937900877e-15,3.6637359812630166e-15,3.6637359812630166e-15,3.219646771412954e-15,3.552713678800501e-15,3.4416913763379853e-15,3.552713678800501e-15,2.4424906541753444e-15,1.7763568394002505e-15,9.992007221626409e-16,8.881784197001252e-16,7.771561172376096e-16,2.220446049250313e-16,2.6285807368730726e-15
0.021,0.7014062838005645,1.3322676295501878e-15,1.7763568394002505e-15,2.220446049250313e-15,4.3298697960381105e-15,2.55351295663786e-15,2.4424906541753444e-15,2.4424906541753444e-15,2.6645352591003757e-15,2.3314683517128287e-15,2.3314683517128287e-15,1.5543122344752192e-15,1.1102230246251565e-15,8.881784197001252e-16,5.551115123125783e-16,4.440892098500626e-16,1.1102230246251565e-16,1.789743808226501e-15
0.022,0.7327386470544089,1.887379141862766e-15,3.219646771412954e-15,3.9968028886505635e-15,7.105427357601002e-15,3.9968028886505635e-15,3.6637359812630166e-15,3.4416913763379853e-15,3.885780586188048e-15,3.774758283725532e-15,3.885780586188048e-15,2.55351295663786e-15,1.887379141862766e-15,9.992007221626409e-16,9.992007221626409e-16,7.771561172376096e-16,2.220446049250313e-16,2.844688068339476e-15
0.023,0.7638951504583724,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1689397825845473e-17
0.024,0.7948772704477612,2.4424906541753444e-15,3.885780586188048e-15,5.10702591327572e-15,9.769962616701378e-15,5.440092820663267e-15,4.9960036108132044e-15,4.218847493575595e-15,5.218048215738236e-15,5.329070518200751e-15,5.218048215738236e-15,3.219646771412954e-15,2.55351295663786e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.5543122344752192e-15,6.661338147750939e-16,3.823855309264339e-15
0.025,0.8256864669767442,1.4432899320127035e-15,2.220446049250313e-15,2.4424906541753444e-15,5.218048215738236e-15,2.55351295663786e-15,2.4424906541753444e-15,2.4424906541753444e-15,2.7755575615628914e-15,2.4424906541753444e-15,2.3314683517128287e-15,1.5543122344752192e-15,1.1102230246251565e-15,8.881784197001252e-16,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-16,1.895761034410321e-15
0.026,0.8563241837476809,1.7763568394002505e-15,2.7755575615628914e-15,3.9968028886505635e-15,7.993605777301127e-15,3.9968028886505635e-15,3.774758283725532e-15,3.3306690738754696e-15,3.885780586188048e-15,3.6637359812630166e-15,3.774758283725532e-15,2.55351295663786e-15,1.7763568394002505e-15,9.992007221626409e-16,8.881784197001252e-16,8.881784197001252e-16,3.3306690738754696e-16,2.852932520435017e-15
0.027,0.8867918484366327,6.661338147750939e-15,1.1213252548714081e-14,1.4099832412739488e-14,2.7200464103316335e-14,1.432187701766452e-14,1.3100631690576847e-14,1.1324274851176597e-14,1.3433698597964394e-14,1.3322676295501878e-14,1.3655743202889425e-14,8.881784197001252e-15,7.327471962526033e-15,3.6637359812630166e-15,3.552713678800501e-15,3.4416913763379853e-15,1.6653345369377348e-15,1.0263151153281523e-14
0.028,0.9170908729151293,4.6629367034256575e-15,7.549516567451064e-15,9.325873406851315e-15,1.865174681370263e-14,9.547918011776346e-15,8.881784197001252e-15,7.66053886991358e-15,9.2148511043888e-15,9.103828801926284e-15,9.43689570931383e-15,6.217248937900877e-15,4.884981308350689e-15,2.4424906541753444e-15,2.3314683517128287e-15,2.3314683517128287e-15,9.992007221626409e-16,6.960380227671126e-15
0.029,0.9472226534682613,3.552713678800501e-15,5.662137425588298e-15,7.549516567451064e-15,1.5765166949677223e-14,7.993605777301127e-15,7.216449660063518e-15,6.5503158452884236e-15,7.66053886991358e-15,7.549516567451064e-15,7.993605777301127e-15,4.884981308350689e-15,3.9968028886505635e-15,2.1094237467877974e-15,1.887379141862766e-15,2.1094237467877974e-15,8.881784197001252e-16,5.7411450698381036e-15
0.03,0.9771885710091743,1.5973888878306752e-12,2.6116886431282182e-12,3.4950931038224553e-12,7.089773212953787e-12,3.5433878053936496e-12,3.1525893007255945e-12,2.7353674880714607e-12,3.236633183689719e-12,3.236189094479869e-12,3.337663478930608e-12,2.1692647678150934e-12,1.7031931420774526e-12,8.635314685534468e-13,8.022471575941381e-13,8.165690346118026e-13,3.6004532688593827e-13,2.5035724373853282e-12
0.031,1.0069899912900275,0.005113708317461052,0.008347200586284353,0.011113070075049802,0.022299800843708195,0.011266859681702823,0.010057187343879725,0.008739279268873523,0.010320926787853457,0.010317944560434889,0.010630260315040108,0.0069280540826465176,0.0054490442464147915,0.002769951222926781,0.0025717404092144847,0.0026142273464373478,0.001153926930309468,0.007968989965844078
0.032,1.0366282651094894,0.02706838129899436,0.0438747691220458,0.057225240262772537,0.11000390346068467,0.05802467330937611,0.05244706515066566,0.0458514530095856,0.05375642921424717,0.053694149189372764,0.0550902372072366,0.036316054628905525,0.028756872289388835,0.014775957208710055,0.013686739430892603,0.013830274659747066,0.006142974517733046,0.041223748183476
0.033,1.0661047285168337,0.049200938666498995,0.07916918146568175,0.10138777781796127,0.18747817955277724,0.1028185879444038,0.0939533151518005,0.08259507624492457,0.0961912383503305,0.09600987814421613,0.09815345749862736,0.06541884334721837,0.05213394061840315,0.027065022460444732,0.02502234805128145,0.025155105242985143,0.011240426470054299,0.07337653722224367
0.034,1.0954207030127043,0.07129669421153528,0.11386925821906135,0.14346396123962424,0.2561159819801494,0.14550830835652984,0.13423298233587921,0.11860882907063408,0.13728968647765738,0.13694774596884673,0.139571000020286,0.09401227465045303,0.075375687485851,0.03952047291717564,0.03648128964726116,0.03651192177815521,0.016409924972039747,0.10430756821526786
0.035,1.1245774957466066,0.09319574821895937,0.14772173360006446,0.18341052318737727,0.31713199126947966,0.18604678806793884,0.17306622674781658,0.1536441989679337,0.17684063955937435,0.17631137708975164,0.17920427830651886,0.12194227232692711,0.09833252531497894,0.052051826380357324,0.04798865957073173,0.047843494149282906,0.021623523083109664,0.13395797828690748
