Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.047120713459621134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09396038886679921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.14052153300297324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.1868066229249012,0.0,0.0,0.0,1.2212453270876722e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04555418917549e-17
0.005,0.23281810640394088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.27855840235756385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.32402990127326153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.36923496562499997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4141759302823758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4588551029126213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.503274764375605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.547437169111969,8.881784197001252e-16,1.3322676295501878e-15,2.1094237467877974e-15,3.6637359812630166e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.887379141862766e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.2212453270876722e-15,1.1102230246251565e-15,3.3306690738754696e-16,0.0,0.0,0.0,1.3463657922910627e-15
0.013,0.5913445455245429,1.7763568394002505e-15,2.7755575615628914e-15,3.885780586188048e-15,6.106226635438361e-15,3.4416913763379853e-15,3.1086244689504383e-15,3.1086244689504383e-15,3.219646771412954e-15,3.219646771412954e-15,2.886579864025407e-15,2.6645352591003757e-15,2.1094237467877974e-15,1.2212453270876722e-15,5.551115123125783e-16,5.551115123125783e-16,1.1102230246251565e-16,2.5939581129252753e-15
0.014,0.634999096353167,0.0,0.0,0.0,1.2212453270876722e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04555418917549e-17
0.015,0.6784029990430621,0.0,0.0,2.220446049250313e-16,1.2212453270876722e-15,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.5907992344461654e-16
0.016,0.7215584061068702,2.1094237467877974e-15,3.3306690738754696e-15,5.218048215738236e-15,7.549516567451064e-15,3.774758283725532e-15,3.4416913763379853e-15,3.3306690738754696e-15,3.4416913763379853e-15,3.6637359812630166e-15,3.3306690738754696e-15,3.1086244689504383e-15,2.220446049250313e-15,1.4432899320127035e-15,8.881784197001252e-16,6.661338147750939e-16,2.220446049250313e-16,3.033721191062039e-15
0.017,0.7644674454804947,9.992007221626409e-16,1.4432899320127035e-15,3.1086244689504383e-15,3.885780586188048e-15,1.887379141862766e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.2212453270876722e-15,3.3306690738754696e-16,0.0,0.0,0.0,1.4714142339843647e-15
0.018,0.8071322208728652,1.7763568394002505e-15,3.1086244689504383e-15,4.9960036108132044e-15,7.549516567451064e-15,3.6637359812630166e-15,3.3306690738754696e-15,3.1086244689504383e-15,3.4416913763379853e-15,3.552713678800501e-15,3.219646771412954e-15,2.886579864025407e-15,1.9984014443252818e-15,1.3322676295501878e-15,7.771561172376096e-16,6.661338147750939e-16,2.220446049250313e-16,2.903355287180654e-15
0.019,0.8495548121097445,1.7763568394002505e-15,3.1086244689504383e-15,4.9960036108132044e-15,7.549516567451064e-15,3.6637359812630166e-15,3.3306690738754696e-15,3.1086244689504383e-15,3.4416913763379853e-15,3.552713678800501e-15,3.219646771412954e-15,2.886579864025407e-15,1.9984014443252818e-15,1.3322676295501878e-15,7.771561172376096e-16,5.551115123125783e-16,2.220446049250313e-16,2.898361212727621e-15
0.02,0.8917372754716981,7.438494264988549e-15,1.2101430968414206e-14,2.1094237467877974e-14,3.275157922644212e-14,1.532107773982716e-14,1.3322676295501878e-14,1.2434497875801753e-14,1.3655743202889425e-14,1.4099832412739488e-14,1.3211653993039363e-14,1.176836406102666e-14,8.43769498715119e-15,4.440892098500626e-15,3.552713678800501e-15,2.6645352591003757e-15,2.1094237467877974e-15,1.1999062666241858e-14
0.021,0.9336816440263406,4.6629367034256575e-15,8.104628079763643e-15,1.3655743202889425e-14,2.1649348980190553e-14,9.992007221626409e-15,8.659739592076221e-15,8.104628079763643e-15,8.770761894538737e-15,9.103828801926284e-15,8.43769498715119e-15,7.438494264988549e-15,5.551115123125783e-15,3.1086244689504383e-15,2.220446049250313e-15,1.7763568394002505e-15,1.2212453270876722e-15,7.798926162265597e-15
0.022,0.9753899279549718,2.567945855957987e-13,4.384270724244743e-13,8.000267115448878e-13,1.2865264409356314e-12,5.698774785400929e-13,4.812816811750054e-13,4.509725926027386e-13,5.002664948960955e-13,5.198064201294983e-13,4.829470157119431e-13,4.3021142204224816e-13,3.1041835768519377e-13,1.6786572132332367e-13,1.13464793116691e-13,9.514611321037592e-14,7.505107646466058e-14,4.448886619670662e-13
0.023,1.0168641148737139,0.010552500518341668,0.017921349709075107,0.03216656940288187,0.05066608077917878,0.0230461643889871,0.019637420391345972,0.018433614242915675,0.020397841778829306,0.021141878626859345,0.019630415303500515,0.017519124468057812,0.01269709889231685,0.006889565903429262,0.004664701013538997,0.003896678809793497,0.0030771337688068057,0.017993652811521058
