Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.08279749381854437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.16510116560636184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.2469154201189296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.32824460988142296,3.3306690738754696e-16,1.3322676295501878e-15,2.3314683517128287e-15,3.3306690738754696e-15,6.661338147750939e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.0,0.0,0.0,1.1102230246251565e-16,8.240395716202565e-16
0.005,0.40909303596059116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.4894649487229863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5693645485798238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.64879598671875,0.0,1.1102230246251565e-16,4.440892098500626e-16,2.6645352591003757e-15,4.440892098500626e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,3.349864564164455e-16
0.009,0.7277633658227848,2.220446049250313e-16,5.551115123125783e-16,2.7755575615628914e-15,5.88418203051333e-15,9.992007221626409e-16,3.3306690738754696e-16,2.220446049250313e-16,3.3306690738754696e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,2.220446049250313e-16,1.0191034836870208e-15
0.01,0.806270740776699,0.0,1.1102230246251565e-16,4.440892098500626e-16,2.6645352591003757e-15,4.440892098500626e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,3.349864564164455e-16
