Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06667590269192424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.13295413598409545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.19883824697720515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2643317407114625,1.7763568394002505e-15,2.6645352591003757e-15,2.9976021664879227e-15,3.219646771412954e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.2212453270876722e-15,3.3306690738754696e-16,0.0,0.0,2.0456523710953065e-15
0.005,0.3294380807881774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3941606899803537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4585029508325172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.52246820625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5860597600778967,5.551115123125783e-16,1.887379141862766e-15,2.3314683517128287e-15,2.220446049250313e-15,6.661338147750939e-16,3.3306690738754696e-16,4.440892098500626e-16,5.551115123125783e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,0.0,0.0,1.0540251532424027e-15
0.01,0.649280877669903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.712134786447241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7746246764478765,4.107825191113079e-15,7.438494264988549e-15,1.021405182655144e-14,1.0547118733938987e-14,5.10702591327572e-15,3.9968028886505635e-15,3.885780586188048e-15,4.218847493575595e-15,4.3298697960381105e-15,3.774758283725532e-15,3.219646771412954e-15,3.219646771412954e-15,2.3314683517128287e-15,1.5543122344752192e-15,1.1102230246251565e-16,0.0,5.76343279679912e-15
0.013,0.8367537008662176,6.8833827526759706e-15,1.27675647831893e-14,1.7430501486614958e-14,1.9872992140790302e-14,9.325873406851315e-15,6.8833827526759706e-15,6.772360450213455e-15,7.327471962526033e-15,7.327471962526033e-15,6.661338147750939e-15,5.773159728050814e-15,5.662137425588298e-15,4.107825191113079e-15,2.6645352591003757e-15,3.3306690738754696e-16,0.0,1.0110718200893862e-14
0.014,0.8985249765834933,2.55351295663786e-15,5.10702591327572e-15,7.549516567451064e-15,9.43689570931383e-15,4.218847493575595e-15,2.886579864025407e-15,2.6645352591003757e-15,2.886579864025407e-15,2.7755575615628914e-15,2.6645352591003757e-15,2.1094237467877974e-15,2.3314683517128287e-15,1.6653345369377348e-15,7.771561172376096e-16,1.1102230246251565e-16,0.0,4.261009256458286e-15
0.015,0.9599415846889952,9.43689570931383e-15,1.8984813721090177e-14,2.4646951146678475e-14,2.7200464103316335e-14,1.2656542480726785e-14,9.2148511043888e-15,8.992806499463768e-15,9.547918011776346e-15,9.658940314238862e-15,8.659739592076221e-15,7.549516567451064e-15,7.327471962526033e-15,5.218048215738236e-15,3.552713678800501e-15,4.440892098500626e-16,3.3306690738754696e-16,1.3992781735860738e-14
0.016,1.0210065709923664,0.017969785895238233,0.03491703219058939,0.04841013861354171,0.052342562071388876,0.024353312718606412,0.017840998015433596,0.01739552973020264,0.018806114379291805,0.019229509036300274,0.016997373087916823,0.014837873859083195,0.014303779651829274,0.01016095806718087,0.0072782195721813325,0.0012518743240698127,0.0006294758289695501,0.02692427661499492
0.017,1.0817229465271172,0.06979551563187769,0.13047263078035354,0.1733397349414858,0.18491127272941899,0.09189926722235109,0.06901861377654217,0.06728615398136206,0.07228578213632064,0.07352671920518095,0.06513196809071553,0.05735921145539058,0.05550788931377437,0.039748749191112376,0.028379482414506718,0.004886471228630396,0.0024733046204999942,0.09989013184428834
0.018,1.1420936880455408,0.12052156559756422,0.21706677180778722,0.27835928838934143,0.29407939017594265,0.1549456282472933,0.11890830807206765,0.11586773035821962,0.12378696123358734,0.1253732172268176,0.1113551259158091,0.09884559633577072,0.09594610385335223,0.06924326458958019,0.049302334358520494,0.008508238625753783,0.004332496628349336,0.1658397641691915
0.019,1.2021217385052034,0.1695686986931365,0.29481328285983577,0.36704382442947847,0.38498023712437435,0.21365501192619307,0.16710445588624767,0.16273515436578834,0.17300259659562667,0.17460350973008576,0.155540638411097,0.13905860699676964,0.135308766964491,0.0983920819098163,0.06990493913326201,0.012102585161536061,0.006196631517990214,0.22554263335034416
0.02,1.2618100075471699,0.21656814078710418,0.3642445376302106,0.4423336507422414,0.46137017193038443,0.2682032804512915,0.21332840198081116,0.2076311603957306,0.2197648197220985,0.22115583194651744,0.1976260945145808,0.17783422027214502,0.1733832964434352,0.12700817476600545,0.09009253412471763,0.01565985590343555,0.008057976720025839,0.27968579530961235
0.021,1.3211613719661337,0.2613041496982621,0.4260772969111556,0.5066047460993792,0.5260718309513,0.31878711843989516,0.2574051366903447,0.25040749881981883,0.2640042649458627,0.26503942269361447,0.2375974145139711,0.215067648170994,0.21003138366268304,0.1549556591262915,0.1098030042875916,0.019173615058512006,0.009910743960050206,0.32887661740022306
0.022,1.3801786761726078,0.30367159960775647,0.481081902309234,0.5617672897255195,0.581250413145879,0.3656215906642296,0.2992418568744124,0.29099618444326225,0.30572107270412874,0.3063119951997846,0.2754767508919882,0.25070096480463444,0.24517155866377371,0.1821389171575999,0.12899742935963143,0.022639625010899778,0.011750595486732185,0.37365006298621584
0.023,1.438864732647334,0.34364434429088564,0.5300123337705619,0.6093581268435613,0.6285944460166213,0.4089340255627697,0.3388091467473565,0.3293877005377873,0.3449636970875013,0.3450636402341959,0.3113128000105523,0.28471278309111125,0.2787655356084566,0.2084940068479768,0.14765360949120343,0.026055200770393916,0.013574298851294908,0.4144769699777214
0.024,1.4972223223880596,0.38125156400816773,0.5735715427949314,0.6506182020680364,0.6694387079818904,0.4489572584808016,0.37612504544434666,0.3656143332944195,0.38181324481099377,0.3814051152719552,0.34517303480921535,0.31710964996682955,0.31080742341528333,0.23398176375161428,0.1657614806722838,0.029418779618154645,0.015379475482827032,0.4517719764357907
0.025,1.5552541953488372,0.4165601274005938,0.6123968234914667,0.6865545516215301,0.7048504589984246,0.4859235977384676,0.4112419577705133,0.39973743631571546,0.41637188485506993,0.4154592865789495,0.37713754008809286,0.34791895491811364,0.3413152020595154,0.2585822325942492,0.18331978841359775,0.03272962135558588,0.017164411769265975,0.4859006514758661
0.026,1.612963070871985,0.4496615215043199,0.6470562474600049,0.7179890047205898,0.7356914847179763,0.520060014706682,0.44423617597394793,0.4318377596794738,0.44875431700747226,0.4473549094927074,0.40729419626446806,0.3771831748926011,0.37032402616317195,0.282290179374151,0.20033363394152148,0.03598759229889881,0.018927913924119077,0.5171857524784302
