Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.054859566669990034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1093919391053678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.16360003578790883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2174867405928854,1.1102230246251565e-15,1.5543122344752192e-15,1.9984014443252818e-15,2.6645352591003757e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.887379141862766e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.1102230246251565e-15,3.3306690738754696e-16,0.0,0.0,0.0,1.527217860697709e-15
0.005,0.27105490330049264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.32430734009823187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3772468340744369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.429876135703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4821979633203505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5342150035922331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5859299119748306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6373453131660232,1.2212453270876722e-15,1.6653345369377348e-15,2.220446049250313e-15,3.9968028886505635e-15,2.55351295663786e-15,2.3314683517128287e-15,1.887379141862766e-15,1.9984014443252818e-15,2.220446049250313e-15,1.887379141862766e-15,1.7763568394002505e-15,1.3322676295501878e-15,4.440892098500626e-16,0.0,0.0,1.1102230246251565e-16,1.8275226674568537e-15
0.013,0.6884638015495669,2.886579864025407e-15,3.9968028886505635e-15,5.440092820663267e-15,8.992806499463768e-15,5.662137425588298e-15,5.329070518200751e-15,4.440892098500626e-15,4.440892098500626e-15,4.440892098500626e-15,3.9968028886505635e-15,3.6637359812630166e-15,2.6645352591003757e-15,1.4432899320127035e-15,7.771561172376096e-16,5.551115123125783e-16,4.440892098500626e-16,4.160836712302929e-15
0.014,0.7392879416314779,1.2212453270876722e-15,1.5543122344752192e-15,2.1094237467877974e-15,3.9968028886505635e-15,2.4424906541753444e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.887379141862766e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.1102230246251565e-15,3.3306690738754696e-16,0.0,0.0,1.1102230246251565e-16,1.7112214427299707e-15
0.015,0.7898202684688994,1.2212453270876722e-15,1.6653345369377348e-15,2.220446049250313e-15,3.9968028886505635e-15,2.4424906541753444e-15,2.220446049250313e-15,1.887379141862766e-15,1.887379141862766e-15,2.220446049250313e-15,1.887379141862766e-15,1.7763568394002505e-15,1.2212453270876722e-15,4.440892098500626e-16,0.0,0.0,1.1102230246251565e-16,1.796945018625571e-15
0.016,0.840063288091603,5.551115123125783e-15,7.993605777301127e-15,1.1657341758564144e-14,1.9317880628477724e-14,1.199040866595169e-14,1.099120794378905e-14,9.43689570931383e-15,9.880984919163893e-15,9.880984919163893e-15,8.326672684688674e-15,7.993605777301127e-15,5.773159728050814e-15,2.886579864025407e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.5543122344752192e-15,8.85261881843455e-15
0.017,0.8900194779162702,3.552713678800501e-15,5.662137425588298e-15,7.882583474838611e-15,1.2878587085651816e-14,8.215650382226158e-15,7.771561172376096e-15,6.328271240363392e-15,6.439293542825908e-15,6.439293542825908e-15,5.662137425588298e-15,5.440092820663267e-15,3.885780586188048e-15,1.7763568394002505e-15,8.881784197001252e-16,9.992007221626409e-16,9.992007221626409e-16,5.950512347005493e-15
0.018,0.9396912871537001,9.103828801926284e-15,1.354472090042691e-14,1.8762769116165146e-14,3.3306690738754696e-14,2.042810365310288e-14,1.84297022087776e-14,1.5765166949677223e-14,1.609823385706477e-14,1.587618925213974e-14,1.3877787807814457e-14,1.354472090042691e-14,9.547918011776346e-15,4.773959005888173e-15,2.220446049250313e-15,2.3314683517128287e-15,2.4424906541753444e-15,1.4729307425770482e-14
0.019,0.9890811372090823,1.4628440780928287e-07,2.208435249118068e-07,3.242491151134175e-07,5.886052399928232e-07,3.5222735994544507e-07,3.101070294997399e-07,2.637673627292614e-07,2.7320252438123305e-07,2.714851250473771e-07,2.3723098629968575e-07,2.2615064698694454e-07,1.5962034471961317e-07,7.972194815408784e-08,4.2179700843192336e-08,4.1889713253695504e-08,4.199930014880948e-08,2.507422023545509e-07
0.02,1.0381914220754718,0.03009415278348604,0.045071194358633826,0.06433145068931756,0.1111341887225481,0.06948567309695275,0.06214146303592549,0.05332894747900485,0.055086994075747575,0.05460078476772956,0.047731452520766715,0.04566957502378255,0.032537711852657414,0.016408670570545292,0.008726549553411345,0.00863088681702151,0.008622090346735889,0.04995148480961895
0.021,1.087024508720602,0.06881471764543978,0.1019724321800708,0.1410130088854521,0.2306622902106733,0.1513241649363396,0.13760017904351451,0.11931770480542125,0.12289405237387618,0.12150934123718948,0.10637580424868953,0.10219016588279783,0.07364847447046674,0.037600696133431755,0.020128016918883107,0.019822294070837687,0.019724746958863837,0.11011273030220313
0.022,1.135582737467167,0.10692260286581623,0.15673634348491017,0.21090212707785205,0.3293733632072102,0.22503439982910112,0.2074168936877716,0.18154028047238124,0.18653262870409792,0.18410519533249337,0.16152411035547443,0.1556956449159308,0.11344085469832543,0.05862112358862104,0.031581536397862764,0.030996035157938917,0.030743389962816114,0.16564546064302454
0.023,1.183868422366698,0.14396352355481346,0.20875504953814727,0.2742988681797781,0.4117162915804523,0.2912062009279137,0.27141800723341825,0.2395596340561953,0.24564830613270017,0.24214875081669363,0.21300906675857312,0.20592012005894067,0.15159592598428118,0.07926947435369791,0.04297266569737612,0.04206031285672629,0.041603331416177114,0.21668686909892107
0.024,1.2318838515671642,0.17967439563991228,0.2577454551730486,0.33168390457623376,0.48104650951524974,0.35055515468156007,0.329776200184676,0.2932902960840772,0.3002208668723907,0.29568852860755535,0.2608724653542307,0.2528268150538442,0.18796644389815587,0.099426104151081,0.054228235439087946,0.05295825521477415,0.05226039413809436,0.26350626138666183
0.025,1.2796312876744185,0.21391706334053529,0.30362788107915906,0.3835998533917878,0.5399144795079907,0.4038096143870793,0.38283801285317065,0.34284620152306067,0.3504154427965369,0.3449280431052999,0.3052686858842869,0.2965080712692515,0.2225104361621031,0.11902386869157044,0.06530248710595332,0.06365580892324396,0.0626899413058154,0.3064284325762113
0.026,1.3271129681076066,0.2466338917009968,0.3464460205686225,0.43058932715577525,0.5902795765256033,0.45165713259381557,0.4310237370857948,0.3884468797059166,0.3964917887943389,0.39014605266687696,0.34640715127422006,0.33712439354119905,0.2552488561423072,0.138029431623387,0.07616779283457353,0.07413377014464373,0.07287979138442335,0.34579095716466385
0.027,1.3743311054486584,0.27781859051529756,0.3863154418646749,0.473164771607002,0.6336645840014303,0.494722542724522,0.4747715141384813,0.43036125805564096,0.43875059373348724,0.4316501892438207,0.3845189018739782,0.3748681577752885,0.28623906151066913,0.1564311264231787,0.08680853877826189,0.08438260553358079,0.08282568905659404,0.3819216163935228
0.028,1.421287887785978,0.30749713873161955,0.4233908740623299,0.5117955755550458,0.6712666561435189,0.5335621646771501,0.5145074617930474,0.4688747448447973,0.4775025021073531,0.4697507473954421,0.4198376479945737,0.4099423891280837,0.31555832131139694,0.17423108760284478,0.09721709486001395,0.09439908303089795,0.09252840391960093,0.41512736447703696
0.029,1.467985479052438,0.33571529900956143,0.45784562443818777,0.5469043185903472,0.7040373290396844,0.5686658013002256,0.5506308154839017,0.5042704651952921,0.5130508222460052,0.5047464555544161,0.45258940296928485,0.4425486331375913,0.3432936034105144,0.19144012859164572,0.10739114237169578,0.10418406495453891,0.10199185886509199,0.44568975513268155
0.03,1.5144260193577983,0.36253042430148097,0.48985878300212715,0.5788676736174844,0.7327407096916251,0.6004621578944049,0.5835075863398669,0.5368190250791676,0.5456824038671557,0.5369173003713802,0.482987166825394,0.4728802858978083,0.3695352914567699,0.20807438820257895,0.1173318862728907,0.11374104978382138,0.11122191286112515,0.47386389702643045
0.031,1.560611625315645,0.3880060726120995,0.5196074198510536,0.6080195183392343,0.7579962461114986,0.6293254470944287,0.6134689481318047,0.56677337659868,0.5756633482034295,0.566521459231258,0.51122856068599,0.5011191895976712,0.3943733686575799,0.22415312364435203,0.12704284835845614,0.12307520044070241,0.12022556364496617,0.49987926420370987
0.032,1.6065443903649639,0.4122084721997098,0.5472619831239872,0.6346549373560131,0.7803105225885575,0.655582072021367,0.6408121579084225,0.5943667034872716,0.6032375385756573,0.5937945852960781,0.5374951623990498,0.527434168377239,0.4178951565108534,0.2396972536307117,0.1365290458186479,0.13219269218892127,0.1290104229315404,0.5239414131044164
0.033,1.6522263850864425,0.43520421538940923,0.5729837455420959,0.6590344195062072,0.8001011663531816,0.6795168751292915,0.6658027457518962,0.6198120629155424,0.628626778588639,0.6189503989380202,0.5619527985540007,0.5519807015815569,0.44018403642151016,0.254728396936871,0.14579642840427043,0.14110027293639238,0.13758437050542371,0.5462340746723585
