Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07955565164506481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1586368163021869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.23724772626362736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.31539256363636364,5.551115123125783e-16,2.220446049250313e-15,2.6645352591003757e-15,2.9976021664879227e-15,6.661338147750939e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,5.551115123125783e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.2411416489100618e-15
0.005,0.39307546108374386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.47030050255402756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5470717239960823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.6233931140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6992686148003895,6.661338147750939e-16,2.4424906541753444e-15,3.219646771412954e-15,5.773159728050814e-15,1.887379141862766e-15,7.771561172376096e-16,6.661338147750939e-16,6.661338147750939e-16,8.881784197001252e-16,6.661338147750939e-16,5.551115123125783e-16,5.551115123125783e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.879007776821595e-15
0.01,0.7747021223300972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.8496974875121007,5.551115123125783e-16,2.3314683517128287e-15,2.6645352591003757e-15,5.329070518200751e-15,1.2212453270876722e-15,5.551115123125783e-16,5.551115123125783e-16,5.551115123125783e-16,7.771561172376096e-16,5.551115123125783e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.6201699544648776e-15
0.012,0.9242585166023166,7.105427357601002e-15,1.687538997430238e-14,2.4202861936828413e-14,3.5860203695392556e-14,1.1657341758564144e-14,6.217248937900877e-15,5.551115123125783e-15,5.551115123125783e-15,5.662137425588298e-15,5.440092820663267e-15,4.773959005888173e-15,4.107825191113079e-15,3.3306690738754696e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.3322676295501878e-15,1.3263867540200788e-14
0.013,0.9983889718960539,0.00018316285715080927,0.00044099662249930116,0.0006912102667184783,0.0010467015246394817,0.0003271224169103526,0.00016217035914956046,0.00014406145373857537,0.00014594481985596985,0.00015805914991251502,0.00015498830754057114,0.0001315238795681628,0.00010627809368590757,8.540794770206528e-05,6.552942238058357e-05,5.764350368808735e-05,3.975642118669853e-05,0.0003685895542100672
0.014,1.0720925723608445,0.034420527656012334,0.08115817338729214,0.11911276371529178,0.16721989540732518,0.057283156306786154,0.02974647767067562,0.026811431703471222,0.026920871286512993,0.02879148691969524,0.027947255044437513,0.0239610697481466,0.01962812503751088,0.015863791036699326,0.012213685513892125,0.010663584573009977,0.007329559007841713,0.06389869673881417
0.015,1.145372994258373,0.07174160908566873,0.16432851604632392,0.2281227684568281,0.30216679994511164,0.11264631480515008,0.060958940002658446,0.05549903772571674,0.05529120545178212,0.0585029669976288,0.05636548932259733,0.04878625064369779,0.04043921236322734,0.032846644927854274,0.025329742496681518,0.021979699223066307,0.01507033193866747,0.12406888378203583
0.016,1.2182338717557253,0.11005475889297789,0.24382581885766885,0.3234131052037431,0.4099434199786375,0.164874524705782,0.0924839726230624,0.08476104394700568,0.08387982257134696,0.08796295933234877,0.08430484985341435,0.07359480235150528,0.06161540567113333,0.05026216204347067,0.0387748912128536,0.03348338239909043,0.022919563548434496,0.1790613695183113
0.017,1.2906787975261655,0.14853968354484937,0.31762777283812116,0.40583643670173686,0.49720447175977833,0.21411696998485696,0.12396662390300772,0.11411041642947173,0.11227502773739573,0.11685740898449437,0.1115873382712399,0.09816912222762297,0.0828944011151781,0.0678765923619099,0.05234641940190088,0.04502845941355693,0.030789674232177378,0.2291998913892237
0.018,1.3627113233396584,0.1866402121063585,0.38495106918333155,0.476865499245666,0.5687147141121423,0.260527308345184,0.15515548584637062,0.1432267569921385,0.14022314889851095,0.14501342214179436,0.13812394368676928,0.12237682452248089,0.10410274518653484,0.08553358122228183,0.06591563909114084,0.05652626340350275,0.038628864148569475,0.2749273335752389
0.019,1.4343349606433302,0.22398138751258567,0.4457263951790291,0.5380712367563967,0.6279327221343534,0.3042490926582757,0.18586829027894003,0.17189834728514208,0.16756954548274616,0.17234123385539757,0.16387494221737253,0.14613597798641964,0.12512371927731525,0.10312689548369036,0.07940070407595734,0.0679231229371221,0.04640664896749713,0.31670576128629613
0.02,1.5055531811320755,0.260310833788413,0.5002589005768674,0.590908979225593,0.6774139825726789,0.3454144383776345,0.21596993871345793,0.19998361558098232,0.19422069445560863,0.19879907202733405,0.18882735997812494,0.16939451068446865,0.145876541654273,0.12058229718612445,0.09274880822784493,0.07918625122934964,0.05410497933589509,0.354969835267791
0.021,1.5763694173095015,0.29546032304716685,0.5490276999654508,0.6366499175560252,0.7190812419988584,0.38414660370518283,0.24535911031732316,0.22738710702967502,0.22012120441160432,0.22437291061631293,0.2129827610002205,0.1921185795369803,0.16630371436908076,0.1378463116228278,0.10592526332904584,0.09029538526984993,0.06171307235305323,0.3901094794858848
