Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07884254685942174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1572148598409543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.23512113330029732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.31256551185770753,1.6653345369377348e-15,3.552713678800501e-15,3.774758283725532e-15,3.1086244689504383e-15,2.220446049250313e-15,1.9984014443252818e-15,1.887379141862766e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.2212453270876722e-15,1.2212453270876722e-15,3.3306690738754696e-16,4.440892098500626e-16,1.1102230246251565e-16,2.4512234478258834e-15
0.005,0.389552091133005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.4660849184675836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5421679936336925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.61780526953125,1.1102230246251565e-16,2.55351295663786e-15,2.55351295663786e-15,5.551115123125783e-16,2.220446049250313e-16,1.1102230246251565e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,8.864814292760153e-16
0.009,0.693000652872444,2.220446049250313e-15,5.995204332975845e-15,6.217248937900877e-15,3.774758283725532e-15,2.4424906541753444e-15,2.3314683517128287e-15,2.3314683517128287e-15,2.3314683517128287e-15,2.220446049250313e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.5543122344752192e-15,5.551115123125783e-16,6.661338147750939e-16,2.220446049250313e-16,3.4097787149990993e-15
0.01,0.767758004854369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.8420811418199419,5.551115123125783e-16,2.6645352591003757e-15,2.9976021664879227e-15,2.1094237467877974e-15,6.661338147750939e-16,4.440892098500626e-16,4.440892098500626e-16,5.551115123125783e-16,6.661338147750939e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.3184167104920516e-15
0.012,0.9159738359073359,1.0103029524088925e-14,2.942091015256665e-14,3.019806626980426e-14,1.9984014443252818e-14,1.0880185641326534e-14,9.2148511043888e-15,9.880984919163893e-15,9.992007221626409e-15,9.43689570931383e-15,8.215650382226158e-15,7.771561172376096e-15,6.994405055138486e-15,5.995204332975845e-15,3.6637359812630166e-15,3.3306690738754696e-15,1.7763568394002505e-15,1.6107478563647027e-14
0.013,0.9894398156881618,1.9103309101264898e-07,5.910456045699064e-07,6.248627334448642e-07,3.8935105151072236e-07,2.000956419445643e-07,1.7458300638484303e-07,1.8803229251407316e-07,1.8994796402438396e-07,1.8592348460799712e-07,1.5815373277661138e-07,1.5031051370240078e-07,1.338032147302215e-07,1.1424931389836246e-07,7.282343283954162e-08,6.953786491070701e-08,3.7610085712458385e-08,3.180237272870739e-07
0.014,1.0624827667946257,0.0455042594289653,0.13081358138953125,0.13743224703605605,0.09100638321817123,0.04872561144500087,0.0425418881284243,0.045206379319610135,0.0456260141936462,0.04474588477003194,0.038388819696338006,0.036629323220501386,0.032606286248886285,0.027724813992078823,0.017398523806940625,0.016629872962806824,0.00901919221315206,0.07299997220129413
0.015,1.135106332535885,0.09692835171584946,0.25760519208030097,0.26889654246833683,0.18890287718187404,0.10584983731839925,0.09266010772151378,0.09718248904051363,0.09797842752438468,0.09627327517803785,0.08333565062016046,0.07986068348442688,0.07112937331156266,0.06025842850273466,0.03723711127345608,0.03562592641608242,0.019383454856065185,0.14956693212114247
0.016,1.2073141145038169,0.14630297886929267,0.3620871738401852,0.3758338842155684,0.27715944418566385,0.16206818781006826,0.1424421460421319,0.14780420400494554,0.1488553833999574,0.14650151008897416,0.127826329770528,0.12298622453783559,0.10965665216885578,0.09266169595867169,0.056543785934343394,0.05413933873994303,0.02954994870627703,0.21804187779047163
0.017,1.279109673168411,0.19349455858431097,0.4488877849799705,0.46364897438448627,0.35589718862055064,0.21651251454262355,0.1912207162054561,0.19669523730456084,0.19789245254337384,0.19503037307300763,0.17138826937061935,0.16550230267434907,0.14778041411154064,0.12468052853011391,0.07531646446093687,0.07216007621311593,0.039510787294625316,0.27952381402749144
0.018,1.3504965284629982,0.23841585740921034,0.5215321699154551,0.5363922629244839,0.4256742688983919,0.26859084107505105,0.23848588717461183,0.2435753251575643,0.24482668221422244,0.24156922733415664,0.21366093879315995,0.2070095633417438,0.18516933960244175,0.1561059763800805,0.09355480924106685,0.08968257110864608,0.049260664746152205,0.3349031807631775
0.019,1.4214781603595081,0.2810248720040437,0.5827364172673006,0.5971336919269425,0.48726867748121827,0.3179371126312355,0.2838726144799776,0.28825509730272125,0.2894876132050157,0.28592614717831455,0.25438535991536315,0.2472076976197497,0.22156686378433266,0.18677410638819403,0.1112611019183063,0.10670575870129473,0.058796762660649704,0.3849192788840399
0.02,1.4920580094339624,0.3213199827330794,0.6346166177494534,0.6482254670630787,0.5415349667293934,0.36435949068571916,0.3271402425655787,0.33062472691236533,0.33178348238087496,0.3279925245267399,0.2933890919584188,0.2858840356158211,0.25678422466343054,0.2165624239965478,0.1284404856811142,0.1232326294542736,0.0681184348272289,0.43019693008830195
0.021,1.5622394774223896,0.35933332968983367,0.6788385102682815,0.6914888636194056,0.5893192883647578,0.40779473880065964,0.3681497986363159,0.37064021767655286,0.37168621896631415,0.36772687121896497,0.3305704346410645,0.3228998916699537,0.2906912077903375,0.24538471716329002,0.14510085925380745,0.1392696312490478,0.07722685219638414,0.4712712016432679
0.022,1.6320259277673546,0.395123689474009,0.7167257550616764,0.7283482744013361,0.6314140535632067,0.4482708560671941,0.4068421700329663,0.40830956353298054,0.4092171074904577,0.4051396315089838,0.36588360050775215,0.3581767836923502,0.3232063031332699,0.273185383534318,0.16125256822995637,0.1548260392314652,0.08612466105061156,0.508604802400653
0.023,1.7014206861552854,0.4287696609077709,0.7493392494473007,0.7599283196435586,0.6685373255354967,0.4858778092503244,0.4432186947127754,0.44368002871791146,0.4444340510451147,0.4402798465220188,0.39932563820590283,0.39168366946573585,0.3542872622829021,0.2999338628491006,0.17690799091856013,0.1699133450093907,0.09481566989120827,0.5426007711651647
0.024,1.7704270410447762,0.46036361487705213,0.7775359686453497,0.7871248988619457,0.7013267037272785,0.5207453416259711,0.477324769566003,0.4768271543159648,0.4774208148846599,0.47322397176749875,0.43092537824778365,0.42342575782780323,0.3839225918977076,0.32561952805871774,0.1920810890371274,0.184544694826983,0.103304571003075,0.5736120484293922
0.025,1.8390482441860465,0.49000660717746414,0.8020131456026596,0.8106577037790184,0.7303411651895639,0.5530265994779805,0.5092365353182323,0.5078456809852948,0.5082782942234022,0.5040668346361498,0.4607343879499183,0.4534350856269287,0.4121242215143126,0.350247209319023,0.20678697128863377,0.19873439413178118,0.11159669938410322,0.6019489313167675
0.026,1.9072875111317253,0.5178042829603048,0.8233418127790642,0.8311094187705395,0.7560668896488019,0.5828863571499506,0.5390503959188554,0.5368423244913818,0.5371176571206854,0.5329145447601411,0.4888197669379275,0.48176282680918037,0.4389213914100246,0.37383340538839394,0.2210414987331608,0.2124974863162027,0.11969782938860507,0.6278850500028423
0.027,1.9751480217391302,0.543863701279994,0.841992525197117,0.8489552685962327,0.7789247458645386,0.6104927736119445,0.5668749904447785,0.5639302057602646,0.5640551187647265,0.5598790890304537,0.5152585417229301,0.5084731753964373,0.46435569128856946,0.39640316220875904,0.23486094601550445,0.22584940588406566,0.1276140074142489,0.6516622770347419
0.028,2.042632920664207,0.5682909593794485,0.8583552679967458,0.8645854983264818,0.7992781389045185,0.6360117988594376,0.5928251965284421,0.5892246820871319,0.5892080734447678,0.585074321891863,0.5401333975341214,0.5336385879567112,0.4884771211870811,0.4179875569730288,0.24826172221855614,0.238805701149994,0.13535141747573243,0.6734948381628623
0.029,2.109745317847286,0.5911894810497301,0.8727549914015429,0.8783226282635797,0.817440532537562,0.6596035291306894,0.61701776296072,0.6128403202152976,0.6126923190470726,0.6086130756401114,0.5635294964995188,0.5573361586436236,0.511341023733638,0.43862170756918994,0.26126014876606607,0.25138181866534537,0.14291627565991016,0.6935728037888175
0.03,2.176488288990826,0.6126588377463873,0.8854638257347238,0.8904348101712154,0.8336823209371409,0.6814199690522642,0.6395682161079967,0.6348887728401293,0.634620137410028,0.6306051473713692,0.5855321583611024,0.5796449124603953,0.533005737261427,0.45834322355549306,0.27387228841727895,0.26359294038612,0.15031474917000076,0.7120650841968417
0.031,2.2428648760292775,0.6327939854058846,0.8967107533807271,0.9011462484611075,0.8482369285300655,0.7016037908657661,0.6605887417399605,0.6554773528269691,0.6550990301486141,0.6511559576168263,0.6062252132844872,0.6006438273098866,0.5535308319252203,0.4771910195040998,0.2861138180175069,0.27545386459105325,0.1575528957832285,0.7291220166444844
0.032,2.3088780875912414,0.6516848179120494,0.9066893171037772,0.9106453929614108,0.8613061284111009,0.7202877861949154,0.6801868003251739,0.674708135078474,0.6742309463978977,0.670365713848543,0.6256898700239992,0.6204104245413535,0.5729758090177033,0.4952044203746515,0.2979999375193384,0.2869789222372261,0.164636619906953,0.7448776100557138
0.033,2.3745308994540495,0.6694159563640454,0.915563800930313,0.919091426037375,0.8730646265985622,0.737594787444745,0.6984642846065112,0.6926774496786519,0.6921118725676642,0.6883289465263314,0.6440039735665408,0.6390197964433806,0.5913991629947599,0.5124224988513051,0.3095453083161399,0.298181921451774,0.17157164189623764,0.7594514984581009
0.034,2.4398262549909258,0.6860667098854883,0.9234742147906708,0.9266194341183255,0.8836639847635559,0.7536378978768848,0.7155170713224501,0.7094756594454126,0.7088316830695405,0.7051343147838901,0.6612415530379716,0.6565439651049185,0.6088577240108628,0.5288835947430437,0.32076401477042904,0.3090761139700473,0.17836347780419504,0.7729506443758828
0.035,2.5047670656108605,0.701711157949776,0.9305403363352945,0.9333445570350547,0.893235961839664,0.7685209156546402,0.7314348540946651,0.7251871396596706,0.724474174763096,0.7208646030263048,0.6774725828165191,0.6730514893382811,0.6254062149639096,0.5446249758106263,0.33166954375453894,0.3196741784071141,0.18501742722296943,0.7854708263042888
0.036,2.5693562111913355,0.7164183159447741,0.9368650052095453,0.9393653375879796,0.9018953533322418,0.7823388712255475,0.7463011724503716,0.7398903976559883,0.7391172269135218,0.7355968490399563,0.6927628977291871,0.6886072548051262,0.641096970798625,0.559682607415362,0.3422747779268326,0.3299882162209361,0.19153856731070773,0.7970979390704083
0.037,2.6335965405040507,0.7302523551343167,0.9425368212701862,0.9447664412080848,0.9097424009768457,0.7951786222360353,0.7601935737367622,0.75365828569249,0.7528330433892367,0.7494025593660811,0.7071742174351217,0.7032723973994917,0.6559797791604876,0.5740910051256239,0.352591999283161,0.3400297570640707,0.19793175147750353,0.8079091317029917
0.038,2.6974908716337525,0.7432728555994341,0.9476323649770413,0.949620876353374,0.9168648373604245,0.8071194680851116,0.7731838614213916,0.766558272730665,0.765688445354137,0.7623479793837304,0.7207642462245667,0.7171043217870701,0.6701018106622458,0.5878831499478081,0.36263290022679706,0.34980977092300947,0.2042016115202363,0.8179738040203691
0.039,2.7610419923903313,0.7555350764965525,0.952218032779982,0.9539918167995917,0.923339621707408,0.818233759027566,0.7853383959781786,0.7786527501078223,0.7777451914915933,0.7744943944653985,0.7335868230619964,0.7301567862847074,0.6835076143302539,0.6010904503139022,0.372408599988722,0.35933868501983124,0.21035256225683718,0.827354480285345
0.04,2.824252660714286,0.7670902323733307,0.956351560773226,0.9579341046605417,0.9292344150177284,0.8285874838021563,0.7967184241116029,0.7899993531666641,0.7890603094176704,0.7858984452994708,0.7456921032902362,0.7424800324679453,0.6962391595533234,0.6137427385204932,0.381929664712336,0.3686264039151834,0.2163888079215921,0.8361075758368702
