Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07693254915254238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.15340625606361832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.22942521347869177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.30499346561264823,1.4432899320127035e-15,3.1086244689504383e-15,3.4416913763379853e-15,3.6637359812630166e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.7763568394002505e-15,1.3322676295501878e-15,9.992007221626409e-16,3.3306690738754696e-16,3.3306690738754696e-16,4.440892098500626e-16,2.29185193735345e-15
0.005,0.3801150088669951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.45479379253438124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5290337194906954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.602838646875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6762123867575462,4.440892098500626e-16,2.220446049250313e-15,2.7755575615628914e-15,2.55351295663786e-15,6.661338147750939e-16,4.440892098500626e-16,5.551115123125783e-16,4.440892098500626e-16,5.551115123125783e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,1.238757096696291e-15
